	0	1
0	basal_cell_of_prostate_epithelium_pseudoTILE_1	basal_cell_of_prostate_epithelium
1	basal_cell_of_prostate_epithelium_pseudoTILE_10	basal_cell_of_prostate_epithelium
2	basal_cell_of_prostate_epithelium_pseudoTILE_100	basal_cell_of_prostate_epithelium
3	basal_cell_of_prostate_epithelium_pseudoTILE_101	basal_cell_of_prostate_epithelium
4	basal_cell_of_prostate_epithelium_pseudoTILE_102	basal_cell_of_prostate_epithelium
5	basal_cell_of_prostate_epithelium_pseudoTILE_103	basal_cell_of_prostate_epithelium
6	basal_cell_of_prostate_epithelium_pseudoTILE_104	basal_cell_of_prostate_epithelium
7	basal_cell_of_prostate_epithelium_pseudoTILE_105	basal_cell_of_prostate_epithelium
8	basal_cell_of_prostate_epithelium_pseudoTILE_106	basal_cell_of_prostate_epithelium
9	basal_cell_of_prostate_epithelium_pseudoTILE_107	basal_cell_of_prostate_epithelium
10	basal_cell_of_prostate_epithelium_pseudoTILE_108	basal_cell_of_prostate_epithelium
11	basal_cell_of_prostate_epithelium_pseudoTILE_109	basal_cell_of_prostate_epithelium
12	basal_cell_of_prostate_epithelium_pseudoTILE_11	basal_cell_of_prostate_epithelium
13	basal_cell_of_prostate_epithelium_pseudoTILE_110	basal_cell_of_prostate_epithelium
14	basal_cell_of_prostate_epithelium_pseudoTILE_111	basal_cell_of_prostate_epithelium
15	basal_cell_of_prostate_epithelium_pseudoTILE_112	basal_cell_of_prostate_epithelium
16	basal_cell_of_prostate_epithelium_pseudoTILE_113	basal_cell_of_prostate_epithelium
17	basal_cell_of_prostate_epithelium_pseudoTILE_114	basal_cell_of_prostate_epithelium
18	basal_cell_of_prostate_epithelium_pseudoTILE_115	basal_cell_of_prostate_epithelium
19	basal_cell_of_prostate_epithelium_pseudoTILE_116	basal_cell_of_prostate_epithelium
20	basal_cell_of_prostate_epithelium_pseudoTILE_117	basal_cell_of_prostate_epithelium
21	basal_cell_of_prostate_epithelium_pseudoTILE_118	basal_cell_of_prostate_epithelium
22	basal_cell_of_prostate_epithelium_pseudoTILE_119	basal_cell_of_prostate_epithelium
23	basal_cell_of_prostate_epithelium_pseudoTILE_12	basal_cell_of_prostate_epithelium
24	basal_cell_of_prostate_epithelium_pseudoTILE_120	basal_cell_of_prostate_epithelium
25	basal_cell_of_prostate_epithelium_pseudoTILE_121	basal_cell_of_prostate_epithelium
26	basal_cell_of_prostate_epithelium_pseudoTILE_122	basal_cell_of_prostate_epithelium
27	basal_cell_of_prostate_epithelium_pseudoTILE_123	basal_cell_of_prostate_epithelium
28	basal_cell_of_prostate_epithelium_pseudoTILE_124	basal_cell_of_prostate_epithelium
29	basal_cell_of_prostate_epithelium_pseudoTILE_125	basal_cell_of_prostate_epithelium
30	basal_cell_of_prostate_epithelium_pseudoTILE_126	basal_cell_of_prostate_epithelium
31	basal_cell_of_prostate_epithelium_pseudoTILE_127	basal_cell_of_prostate_epithelium
32	basal_cell_of_prostate_epithelium_pseudoTILE_128	basal_cell_of_prostate_epithelium
33	basal_cell_of_prostate_epithelium_pseudoTILE_129	basal_cell_of_prostate_epithelium
34	basal_cell_of_prostate_epithelium_pseudoTILE_13	basal_cell_of_prostate_epithelium
35	basal_cell_of_prostate_epithelium_pseudoTILE_130	basal_cell_of_prostate_epithelium
36	basal_cell_of_prostate_epithelium_pseudoTILE_131	basal_cell_of_prostate_epithelium
37	basal_cell_of_prostate_epithelium_pseudoTILE_132	basal_cell_of_prostate_epithelium
38	basal_cell_of_prostate_epithelium_pseudoTILE_133	basal_cell_of_prostate_epithelium
39	basal_cell_of_prostate_epithelium_pseudoTILE_134	basal_cell_of_prostate_epithelium
40	basal_cell_of_prostate_epithelium_pseudoTILE_135	basal_cell_of_prostate_epithelium
41	basal_cell_of_prostate_epithelium_pseudoTILE_136	basal_cell_of_prostate_epithelium
42	basal_cell_of_prostate_epithelium_pseudoTILE_137	basal_cell_of_prostate_epithelium
43	basal_cell_of_prostate_epithelium_pseudoTILE_138	basal_cell_of_prostate_epithelium
44	basal_cell_of_prostate_epithelium_pseudoTILE_139	basal_cell_of_prostate_epithelium
45	basal_cell_of_prostate_epithelium_pseudoTILE_14	basal_cell_of_prostate_epithelium
46	basal_cell_of_prostate_epithelium_pseudoTILE_140	basal_cell_of_prostate_epithelium
47	basal_cell_of_prostate_epithelium_pseudoTILE_141	basal_cell_of_prostate_epithelium
48	basal_cell_of_prostate_epithelium_pseudoTILE_142	basal_cell_of_prostate_epithelium
49	basal_cell_of_prostate_epithelium_pseudoTILE_143	basal_cell_of_prostate_epithelium
50	basal_cell_of_prostate_epithelium_pseudoTILE_144	basal_cell_of_prostate_epithelium
51	basal_cell_of_prostate_epithelium_pseudoTILE_145	basal_cell_of_prostate_epithelium
52	basal_cell_of_prostate_epithelium_pseudoTILE_146	basal_cell_of_prostate_epithelium
53	basal_cell_of_prostate_epithelium_pseudoTILE_147	basal_cell_of_prostate_epithelium
54	basal_cell_of_prostate_epithelium_pseudoTILE_148	basal_cell_of_prostate_epithelium
55	basal_cell_of_prostate_epithelium_pseudoTILE_149	basal_cell_of_prostate_epithelium
56	basal_cell_of_prostate_epithelium_pseudoTILE_15	basal_cell_of_prostate_epithelium
57	basal_cell_of_prostate_epithelium_pseudoTILE_150	basal_cell_of_prostate_epithelium
58	basal_cell_of_prostate_epithelium_pseudoTILE_151	basal_cell_of_prostate_epithelium
59	basal_cell_of_prostate_epithelium_pseudoTILE_152	basal_cell_of_prostate_epithelium
60	basal_cell_of_prostate_epithelium_pseudoTILE_153	basal_cell_of_prostate_epithelium
61	basal_cell_of_prostate_epithelium_pseudoTILE_154	basal_cell_of_prostate_epithelium
62	basal_cell_of_prostate_epithelium_pseudoTILE_155	basal_cell_of_prostate_epithelium
63	basal_cell_of_prostate_epithelium_pseudoTILE_156	basal_cell_of_prostate_epithelium
64	basal_cell_of_prostate_epithelium_pseudoTILE_157	basal_cell_of_prostate_epithelium
65	basal_cell_of_prostate_epithelium_pseudoTILE_158	basal_cell_of_prostate_epithelium
66	basal_cell_of_prostate_epithelium_pseudoTILE_159	basal_cell_of_prostate_epithelium
67	basal_cell_of_prostate_epithelium_pseudoTILE_16	basal_cell_of_prostate_epithelium
68	basal_cell_of_prostate_epithelium_pseudoTILE_160	basal_cell_of_prostate_epithelium
69	basal_cell_of_prostate_epithelium_pseudoTILE_161	basal_cell_of_prostate_epithelium
70	basal_cell_of_prostate_epithelium_pseudoTILE_162	basal_cell_of_prostate_epithelium
71	basal_cell_of_prostate_epithelium_pseudoTILE_163	basal_cell_of_prostate_epithelium
72	basal_cell_of_prostate_epithelium_pseudoTILE_164	basal_cell_of_prostate_epithelium
73	basal_cell_of_prostate_epithelium_pseudoTILE_165	basal_cell_of_prostate_epithelium
74	basal_cell_of_prostate_epithelium_pseudoTILE_166	basal_cell_of_prostate_epithelium
75	basal_cell_of_prostate_epithelium_pseudoTILE_167	basal_cell_of_prostate_epithelium
76	basal_cell_of_prostate_epithelium_pseudoTILE_168	basal_cell_of_prostate_epithelium
77	basal_cell_of_prostate_epithelium_pseudoTILE_169	basal_cell_of_prostate_epithelium
78	basal_cell_of_prostate_epithelium_pseudoTILE_17	basal_cell_of_prostate_epithelium
79	basal_cell_of_prostate_epithelium_pseudoTILE_170	basal_cell_of_prostate_epithelium
80	basal_cell_of_prostate_epithelium_pseudoTILE_171	basal_cell_of_prostate_epithelium
81	basal_cell_of_prostate_epithelium_pseudoTILE_172	basal_cell_of_prostate_epithelium
82	basal_cell_of_prostate_epithelium_pseudoTILE_173	basal_cell_of_prostate_epithelium
83	basal_cell_of_prostate_epithelium_pseudoTILE_174	basal_cell_of_prostate_epithelium
84	basal_cell_of_prostate_epithelium_pseudoTILE_175	basal_cell_of_prostate_epithelium
85	basal_cell_of_prostate_epithelium_pseudoTILE_176	basal_cell_of_prostate_epithelium
86	basal_cell_of_prostate_epithelium_pseudoTILE_177	basal_cell_of_prostate_epithelium
87	basal_cell_of_prostate_epithelium_pseudoTILE_178	basal_cell_of_prostate_epithelium
88	basal_cell_of_prostate_epithelium_pseudoTILE_179	basal_cell_of_prostate_epithelium
89	basal_cell_of_prostate_epithelium_pseudoTILE_18	basal_cell_of_prostate_epithelium
90	basal_cell_of_prostate_epithelium_pseudoTILE_180	basal_cell_of_prostate_epithelium
91	basal_cell_of_prostate_epithelium_pseudoTILE_181	basal_cell_of_prostate_epithelium
92	basal_cell_of_prostate_epithelium_pseudoTILE_182	basal_cell_of_prostate_epithelium
93	basal_cell_of_prostate_epithelium_pseudoTILE_183	basal_cell_of_prostate_epithelium
94	basal_cell_of_prostate_epithelium_pseudoTILE_184	basal_cell_of_prostate_epithelium
95	basal_cell_of_prostate_epithelium_pseudoTILE_185	basal_cell_of_prostate_epithelium
96	basal_cell_of_prostate_epithelium_pseudoTILE_186	basal_cell_of_prostate_epithelium
97	basal_cell_of_prostate_epithelium_pseudoTILE_187	basal_cell_of_prostate_epithelium
98	basal_cell_of_prostate_epithelium_pseudoTILE_188	basal_cell_of_prostate_epithelium
99	basal_cell_of_prostate_epithelium_pseudoTILE_189	basal_cell_of_prostate_epithelium
100	basal_cell_of_prostate_epithelium_pseudoTILE_19	basal_cell_of_prostate_epithelium
101	basal_cell_of_prostate_epithelium_pseudoTILE_190	basal_cell_of_prostate_epithelium
102	basal_cell_of_prostate_epithelium_pseudoTILE_191	basal_cell_of_prostate_epithelium
103	basal_cell_of_prostate_epithelium_pseudoTILE_192	basal_cell_of_prostate_epithelium
104	basal_cell_of_prostate_epithelium_pseudoTILE_193	basal_cell_of_prostate_epithelium
105	basal_cell_of_prostate_epithelium_pseudoTILE_194	basal_cell_of_prostate_epithelium
106	basal_cell_of_prostate_epithelium_pseudoTILE_195	basal_cell_of_prostate_epithelium
107	basal_cell_of_prostate_epithelium_pseudoTILE_196	basal_cell_of_prostate_epithelium
108	basal_cell_of_prostate_epithelium_pseudoTILE_197	basal_cell_of_prostate_epithelium
109	basal_cell_of_prostate_epithelium_pseudoTILE_198	basal_cell_of_prostate_epithelium
110	basal_cell_of_prostate_epithelium_pseudoTILE_199	basal_cell_of_prostate_epithelium
111	basal_cell_of_prostate_epithelium_pseudoTILE_2	basal_cell_of_prostate_epithelium
112	basal_cell_of_prostate_epithelium_pseudoTILE_20	basal_cell_of_prostate_epithelium
113	basal_cell_of_prostate_epithelium_pseudoTILE_200	basal_cell_of_prostate_epithelium
114	basal_cell_of_prostate_epithelium_pseudoTILE_201	basal_cell_of_prostate_epithelium
115	basal_cell_of_prostate_epithelium_pseudoTILE_202	basal_cell_of_prostate_epithelium
116	basal_cell_of_prostate_epithelium_pseudoTILE_203	basal_cell_of_prostate_epithelium
117	basal_cell_of_prostate_epithelium_pseudoTILE_204	basal_cell_of_prostate_epithelium
118	basal_cell_of_prostate_epithelium_pseudoTILE_205	basal_cell_of_prostate_epithelium
119	basal_cell_of_prostate_epithelium_pseudoTILE_206	basal_cell_of_prostate_epithelium
120	basal_cell_of_prostate_epithelium_pseudoTILE_207	basal_cell_of_prostate_epithelium
121	basal_cell_of_prostate_epithelium_pseudoTILE_208	basal_cell_of_prostate_epithelium
122	basal_cell_of_prostate_epithelium_pseudoTILE_209	basal_cell_of_prostate_epithelium
123	basal_cell_of_prostate_epithelium_pseudoTILE_21	basal_cell_of_prostate_epithelium
124	basal_cell_of_prostate_epithelium_pseudoTILE_210	basal_cell_of_prostate_epithelium
125	basal_cell_of_prostate_epithelium_pseudoTILE_211	basal_cell_of_prostate_epithelium
126	basal_cell_of_prostate_epithelium_pseudoTILE_212	basal_cell_of_prostate_epithelium
127	basal_cell_of_prostate_epithelium_pseudoTILE_213	basal_cell_of_prostate_epithelium
128	basal_cell_of_prostate_epithelium_pseudoTILE_214	basal_cell_of_prostate_epithelium
129	basal_cell_of_prostate_epithelium_pseudoTILE_215	basal_cell_of_prostate_epithelium
130	basal_cell_of_prostate_epithelium_pseudoTILE_216	basal_cell_of_prostate_epithelium
131	basal_cell_of_prostate_epithelium_pseudoTILE_217	basal_cell_of_prostate_epithelium
132	basal_cell_of_prostate_epithelium_pseudoTILE_218	basal_cell_of_prostate_epithelium
133	basal_cell_of_prostate_epithelium_pseudoTILE_219	basal_cell_of_prostate_epithelium
134	basal_cell_of_prostate_epithelium_pseudoTILE_22	basal_cell_of_prostate_epithelium
135	basal_cell_of_prostate_epithelium_pseudoTILE_220	basal_cell_of_prostate_epithelium
