"Dendrogram Group" "Dendrogram Color" "Annotation Group" "Annotation Color"
"tumor_cell_markers_pseudoTILE_69" "tumor_cell_markers_s9" "#8DD3C7" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_173" "tumor_cell_markers_s8" "#E6E5C1" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_163" "tumor_cell_markers_s7" "#EB8E8B" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_33" "tumor_cell_markers_s7" "#EB8E8B" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_117" "tumor_cell_markers_s6" "#8FB1C4" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_83" "tumor_cell_markers_s6" "#8FB1C4" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_63" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_36" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_94" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_1" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_27" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_124" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_31" "tumor_cell_markers_s1" "#D8C965" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_132" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_30" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_84" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_92" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_106" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_87" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_125" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_151" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_17" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_123" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_171" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_119" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_25" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_162" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_76" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_23" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_62" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_152" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_186" "tumor_cell_markers_s4" "#F2CFD5" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_40" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_89" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_168" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_139" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_141" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_26" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_154" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_42" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_70" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_135" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_82" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_78" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_122" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_48" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_49" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_80" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_99" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_88" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_134" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_65" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_35" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_39" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_3" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_47" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_175" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_109" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_136" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_138" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_44" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_66" "tumor_cell_markers_s5" "#D1C2D2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_60" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_183" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_158" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_73" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_4" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_105" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_156" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_128" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_59" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_18" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_153" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_160" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_166" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_112" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_79" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_113" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_85" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_148" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_91" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_133" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_5" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_103" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_15" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_178" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_184" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_43" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_159" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_52" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_34" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_93" "tumor_cell_markers_s3" "#C6C2C2" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_180" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_95" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_64" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_9" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_150" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_104" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_174" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
"tumor_cell_markers_pseudoTILE_142" "tumor_cell_markers_s2" "#FFED6F" "1" "#8DD3C7"
