cell_id,Tile,Clone
aagckigd-1,0_plate4_7B_,255_255_255
aagclife-1,0_plate4_7B_,255_255_255
aagcmije-1,0_plate4_7B_,255_255_255
aagcphej-1,0_plate4_7B_,255_255_255
aagdclne-1,0_plate4_7B_,255_255_255
aagddlcc-1,0_plate4_7B_,255_255_255
aagejclk-1,0_plate4_7B_,255_255_255
aagencna-1,0_plate4_7B_,255_255_255
aagfdefg-1,0_plate4_7B_,255_255_255
aagfhidb-1,0_plate4_7B_,255_255_255
aagfkonh-1,0_plate4_7B_,255_255_255
aagflcga-1,0_plate4_7B_,255_255_255
aagfnpkb-1,0_plate4_7B_,255_255_255
aaggcmng-1,0_plate4_7B_,255_255_255
aaggedkk-1,0_plate4_7B_,255_255_255
aaggomhn-1,0_plate4_7B_,255_255_255
aaggpbha-1,0_plate4_7B_,255_255_255
aaggpkgg-1,0_plate4_7B_,255_255_255
aaghcjgc-1,0_plate4_7B_,255_255_255
aaghmmbg-1,0_plate4_7B_,255_255_255
aagialfm-1,0_plate4_7B_,255_255_255
aagibcal-1,0_plate4_7B_,255_255_255
aagifkil-1,0_plate4_7B_,255_255_255
aagijnlo-1,0_plate4_7B_,255_255_255
aaginanf-1,0_plate4_7B_,255_255_255
aagjfgba-1,0_plate4_7B_,255_255_255
aagjgkjd-1,0_plate4_7B_,255_255_255
aagjidnm-1,0_plate4_7B_,255_255_255
aagjjdmp-1,0_plate4_7B_,255_255_255
aagjkjmk-1,0_plate4_7B_,255_255_255
aagkgndl-1,0_plate4_7B_,255_255_255
aagkilkg-1,0_plate4_7B_,255_255_255
aagkobgb-1,0_plate4_7B_,255_255_255
aaglclof-1,0_plate4_7B_,255_255_255
aaglehla-1,0_plate4_7B_,255_255_255
aaglelbj-1,0_plate4_7B_,255_255_255
aagljfbl-1,0_plate4_7B_,255_255_255
aaglkhfj-1,0_plate4_7B_,255_255_255
aaglkiba-1,0_plate4_7B_,255_255_255
aaglmhhn-1,0_plate4_7B_,255_255_255
aagmdbfb-1,0_plate4_7B_,255_255_255
aagmgiik-1,0_plate4_7B_,255_255_255
aahbhoci-1,0_plate4_7B_,255_255_255
aahcaeic-1,0_plate4_7B_,255_255_255
aahcbgba-1,0_plate4_7B_,255_255_255
aahcckie-1,0_plate4_7B_,255_255_255
aahcgooa-1,0_plate4_7B_,255_255_255
aahcjkfe-1,0_plate4_7B_,255_255_255
aahckcma-1,0_plate4_7B_,255_255_255
aahcpigk-1,0_plate4_7B_,255_255_255
aahdcbnj-1,0_plate4_7B_,255_255_255
aahddkmm-1,0_plate4_7B_,255_255_255
aahdjpfb-1,0_plate4_7B_,255_255_255
aahebflm-1,0_plate4_7B_,255_255_255
