,geometry,objectType,name,color
0,"POLYGON ((9405.65 63208.47, 9111.15 63238.9, 8816.38 63269.68, 8521.25 63300.51, 8295.21 63323.88, 8225.77 63331.36, 8201.23 63334.01, 8220.68 63598.53, 8240.11 63863.11, 8259.55 64127.38, 8278.97 64391.38, 8280.73 64413.94, 8575.16 64382.57, 8869.63 64351.19, 9163.78 64320.15, 9457.57 64288.86, 9481.97 64286.5, 9463.24 64023.09, 9444.5 63759.39, 9425.76 63495.41, 9406.98 63231.12, 9405.65 63208.47))",annotation,plate4_7B,[255 255 255]
1,"POLYGON ((16618.29 50269.2, 16325.47 50292.29, 16032.32 50315.76, 15738.83 50339.26, 15514.46 50356.98, 15445.03 50362.79, 15420.96 50364.81, 15436.29 50638.73, 15451.99 50912.66, 15467.65 51186.3, 15483.35 51459.64, 15484.8 51483.36, 15777.6 51459.27, 16070.43 51435.13, 16362.89 51411.06, 16655.07 51387.01, 16679.7 51385.25, 16664.34 51112.57, 16649.34 50839.54, 16634.32 50566.24, 16619.29 50292.63, 16618.29 50269.2))",annotation,plate4_4A,[255 255   0]
2,"POLYGON ((19634.85 30795.06, 19335.09 30807.09, 19034.99 30819.51, 18734.48 30831.59, 18504.77 30840.83, 18433.69 30844.04, 18409.08 30845.16, 18423.2 31138.2, 18437.66 31431.24, 18452.18 31723.98, 18466.61 32016.39, 18467.96 32041.77, 18767.71 32028.64, 19067.48 32015.49, 19366.89 32002.39, 19665.95 31989.28, 19691.16 31988.46, 19677.06 31696.8, 19663.29 31404.76, 19649.49 31112.43, 19635.72 30819.75, 19634.85 30795.06))",annotation,plate4_11E,[102   0 102]
3,"POLYGON ((24858.97 26567.9, 24563.29 26577.36, 24267.34 26587.2, 23970.97 26597.04, 23744.41 26604.31, 23674.3 26606.9, 23650.03 26607.8, 23661.18 26902.25, 23672.67 27196.74, 23684.19 27490.88, 23695.66 27784.73, 23696.76 27809.84, 23992.41 27799.29, 24288.08 27788.75, 24583.39 27778.18, 24878.35 27767.66, 24903.21 27767.06, 24892.04 27473.97, 24881.22 27180.55, 24870.4 26886.79, 24859.6 26592.71, 24858.97 26567.9))",annotation,plate4_2D,[102   0 102]
4,"POLYGON ((13105.29 36405.55, 12800.55 36421.02, 12495.42 36436.88, 12189.99 36452.77, 11956.42 36464.65, 11884.13 36468.67, 11859.14 36470.06, 11876.98 36760.95, 11895.21 37051.88, 11913.39 37342.45, 11931.58 37632.71, 11933.23 37657.52, 12237.96 37640.96, 12542.71 37624.4, 12847.09 37607.85, 13151.11 37591.32, 13176.74 37590.2, 13158.9 37300.68, 13141.44 37010.8, 13123.98 36720.59, 13106.48 36430.05, 13105.29 36405.55))",annotation,plate4_12G,[102   0 102]
5,"POLYGON ((19382.56 25426.73, 19079.57 25435.61, 18776.27 25444.89, 18472.53 25454.18, 18239.94 25461.04, 18168.48 25463.49, 18143.22 25464.35, 18157.98 25763.42, 18172.78 26062.56, 18187.56 26361.33, 18202.33 26659.74, 18203.7 26685.65, 18506.69 26675.66, 18809.69 26665.65, 19112.33 26655.64, 19414.59 26645.64, 19439.69 26645.11, 19425.66 26347.41, 19411.61 26049.38, 19397.55 25751.01, 19383.51 25452.31, 19382.56 25426.73))",annotation,plate4_5A,[102   0 102]
6,"POLYGON ((18105.21 26790.42, 17801.38 26800.13, 17497.21 26810.25, 17192.66 26820.37, 16959.79 26827.82, 16887.74 26830.49, 16862.8 26831.42, 16877.94 27129.8, 16893.43 27428.19, 16908.94 27726.26, 16924.46 28023.99, 16925.88 28049.44, 17229.67 28038.62, 17533.54 28027.76, 17836.97 28016.94, 18140.07 28006.12, 18165.63 28005.49, 18150.52 27708.52, 18135.72 27411.19, 18120.96 27113.55, 18106.16 26815.56, 18105.21 26790.42))",annotation,plate4_5A,[102   0 102]
8,"POLYGON ((8804.01 35257.1, 8493.27 35272.02, 8182.14 35287.35, 7870.7 35302.73, 7632.13 35314.23, 7558.81 35318.1, 7532.9 35319.48, 7553.79 35614.21, 7574.71 35908.97, 7595.55 36203.42, 7616.39 36497.52, 7618.27 36522.68, 7928.99 36506.6, 8239.73 36490.55, 8550.08 36474.52, 8860.06 36458.51, 8885.8 36457.45, 8865.73 36164.08, 8845.63 35870.36, 8825.55 35576.32, 8805.38 35281.93, 8804.01 35257.1))",annotation,plate4_10H,[102   0 102]
9,"POLYGON ((8711.15 53423.45, 8410.39 53448.68, 8109.29 53474.28, 7807.85 53499.91, 7577.35 53519.27, 7506.04 53525.58, 7481.35 53527.76, 7501.21 53802.99, 7521.46 54078.23, 7541.68 54353.16, 7561.85 54627.8, 7563.7 54651.64, 7864.45 54625.38, 8165.18 54599.14, 8465.61 54572.93, 8765.62 54546.75, 8790.92 54544.79, 8771.09 54270.84, 8751.59 53996.52, 8732.07 53721.93, 8712.53 53447, 8711.15 53423.45))",annotation,plate4_8B,[255 255 255]
10,"POLYGON ((20541.37 19922.55, 20236.82 19928.11, 19931.92 19934.07, 19626.59 19939.67, 19392.81 19943.96, 19320.97 19945.64, 19295.58 19946.23, 19309.83 20250.7, 19324.05 20555.2, 19338.29 20859.36, 19352.51 21163.18, 19353.84 21189.55, 19658.38 21182.8, 19962.95 21176.1, 20267.14 21169.38, 20570.96 21162.68, 20596.18 21162.42, 20582.73 20859.38, 20569.21 20556, 20555.7 20252.27, 20542.21 19948.19, 20541.37 19922.55))",annotation,plate4_1D,[102   0 102]
