,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
33,AKR1B1,0.017791297177245206,4.371499357611738,1.297161292839815e-11,0.06404809188764063,0.002625607554184633,0.012645106371043324,0.022937487983447087,True,3.1521019416007503e-09,True
52,ANO1,0.05039315951737927,4.354588881600054,1.6748445950793134e-16,0.08275035192428935,0.006102552674834679,0.0384321562747033,0.062354162760055246,True,4.0698723660427315e-14,True
55,ANXA2,0.03662811390405264,4.4149877263145525,2.7712749581021322e-05,0.04581674886778039,0.00873383266121341,0.019509801888074357,0.05374642592003093,True,0.006734198148188182,True
68,APP,0.018624796820198426,4.375727730736073,2.647228432673493e-09,0.05550791142621198,0.003126631559573995,0.012496598963433395,0.024752994676963458,True,6.432765091396588e-07,True
75,ATF4,-0.042337081965805566,4.505285121723782,1.4490388322762143e-06,-0.05555323187734895,0.00877993949667904,-0.059545763379296485,-0.025128400552314648,True,0.0003521164362431201,True
79,ATP1A1,0.032613168075690986,4.317781028361884,1.7137223797928462e-26,0.09908016276992761,0.00305419129564103,0.026626953136234567,0.038599383015147405,True,4.164345382896617e-24,True
137,CD38,0.023886076009597478,4.3730466027598425,1.137420173878876e-06,0.05012921170119938,0.004905311723176875,0.014271665032170804,0.03350048698702415,True,0.00027639310225256687,True
199,CTSL,0.07882282542298379,4.434588783070789,0.00014535983994190687,0.0556571101732434,0.02073183711194427,0.038188424683573016,0.11945722616239456,True,0.03532244110588337,True
213,DAP,0.039946544150764235,4.357862031099532,1.1765763773347274e-17,0.08385789686785042,0.004660919344694075,0.030811142235163846,0.04908194606636462,True,2.8590805969233874e-15,True
249,EEF1G,0.012583271038216716,4.357075412053367,2.2080822398590083e-13,0.06721828630510983,0.001713403727273373,0.009224999732760905,0.015941542343672527,True,5.36563984285739e-11,True
252,EHF,0.037178015442463255,4.394962272089473,3.941551955554353e-06,0.04855920541149448,0.00805190655300572,0.021396278598572044,0.05295975228635447,True,0.0009577971251997078,True
