,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
8,B2M,0.2765691617289287,2.7088468600155178,9.589295555010703e-11,0.31151375868981007,0.04161401964117052,0.1950056832322345,0.3581326402256229,True,3.835718222004281e-09,True
13,CCL5,0.15667790826057668,2.5491810534769312,1.3068465691569911e-12,0.2853412579212135,0.021610978238071038,0.11432039091395745,0.1990354256071959,True,5.2273862766279644e-11,True
15,CD19,0.5284683750704572,2.8439823862534315,3.944140425774375e-05,0.3208888905418651,0.12488365002106253,0.28369642102917464,0.7732403291117398,True,0.00157765617030975,True
16,CD37,0.4464188204745188,2.6089715150700195,1.2878121450281716e-06,0.2635975523523224,0.09048036044080879,0.2690773140105336,0.623760326938504,True,5.151248580112686e-05,True
19,CD79A,0.3335882494441846,3.021654214584874,0.00014751479701176633,0.2503674028023023,0.0863820649895263,0.16427940206471303,0.5028970968236561,True,0.005900591880470653,True
29,CXCR4,0.2349383065555554,2.8289528250263825,8.01393403868695e-10,0.30582454375641155,0.03727590305151104,0.16187753657459375,0.30799907653651704,True,3.20557361547478e-08,True
33,DDX3X,0.7018372983687878,2.5378442592394244,0.001169845350967777,0.2697263377110827,0.21176147537950954,0.28678480662494915,1.1168897901126265,True,0.04679381403871108,True
35,EEF1G,0.18841520369319695,2.2704236227183427,1.5557845762841523e-37,0.47850003661818763,0.013764394143434453,0.16143699117206542,0.21539341621432848,True,6.223138305136609e-36,True
36,EIF4A1,1.0099140400657436,2.260750423799614,1.7052135248352297e-06,0.46607009956829376,0.19773735952895677,0.6223488153889883,1.3974792647424987,True,6.820854099340919e-05,True
44,HLA-B,0.3864919438575011,2.612247647163729,6.901704931395778e-10,0.3144246297726712,0.06099283110590746,0.26694599488992243,0.5060378928250797,True,2.7606819725583112e-08,True
45,HLA-C,0.3885143794557747,2.796694519004542,0.00035662994254987893,0.2206011914669003,0.10736087056497975,0.1780870731484144,0.598941685763135,True,0.014265197701995157,True
46,HLA-DRA,0.285101439783765,2.9009503214416075,5.8922065760748475e-06,0.2525074647275601,0.06185025343634408,0.16387494304853062,0.4063279365189994,True,0.0002356882630429939,True
48,HLA-E,0.31306646878113265,2.8119495019163816,9.562027995523516e-06,0.2348224501686042,0.06966943012184619,0.17651438574231412,0.44961855181995114,True,0.00038248111982094066,True
49,HNRNPA1L2,0.42868672832968224,2.6659860494213037,0.00011259348721541748,0.22793979204858272,0.10943468605054693,0.21419474367061025,0.6431787129887543,True,0.004503739488616699,True
55,HSPA8,0.4922225170626079,2.7481406705620675,0.0002538768566971346,0.25722550167707037,0.13208530444128827,0.2333353203576829,0.7511097137675329,True,0.010155074267885384,True
65,KLK3,0.5005874269422262,3.064172684741921,0.0009717622532294157,0.3686068742419835,0.145772351178276,0.2148736186328053,0.7863012352516472,True,0.03887049012917663,True
71,MS4A1,0.21253456797541764,2.704793996311518,6.831663399644944e-16,0.37283499548302534,0.025332015275329512,0.1628838180357718,0.2621853179150635,True,2.7326653598579778e-14,True
81,PTGES3,0.6192677025491282,2.8336869277158345,0.0002662044498284259,0.2945305238047049,0.1657237357386968,0.2944491805012825,0.9440862245969739,True,0.010648177993137036,True
