,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
5,ACKR3,0.2407044555640536,2.614517192134098,4.5406671024818815e-08,0.290776317606322,0.04301722160949239,0.1563907012094485,0.3250182099186587,True,1.5619894832537672e-05,True
7,ACTA2,0.19309026652917383,2.567246033068444,1.4237191567634329e-08,0.1280634638972749,0.033906623141164174,0.12663328517249206,0.2595472478858556,True,4.897593899266209e-06,True
11,ADAMTS1,0.08240160003573056,2.7013611406884173,1.087253814920543e-39,0.20142644712409286,0.006185228141318127,0.07027855287874703,0.0945246471927141,True,3.740153123326668e-37,True
13,ADAMTS4,0.14133762056553908,2.864290975282061,1.5847390394019134e-12,0.16827817595762357,0.019853741794665557,0.10242428664799459,0.1802509544830836,True,5.451502295542582e-10,True
18,ADM,0.2097091974787947,2.8792926990783316,3.2746944225637946e-05,0.21915114840633534,0.04983476713331082,0.11203305389750551,0.3073853410600839,True,0.011264948813619453,True
19,AEBP1,0.3534596819919267,2.6393417718499137,2.04626046479053e-23,0.2047009628028487,0.035067132085560504,0.2847281031042281,0.4221912608796253,True,7.039135998879424e-21,True
20,AHR,0.5329851788248817,2.382268186538797,5.4599201530019625e-05,0.16504819972029072,0.1311236362287886,0.2759828518164561,0.7899875058333073,True,0.01878212532632675,True
26,AMACR,0.2606545558389249,2.5936487054870008,2.600659257124813e-05,0.25480979025902983,0.06087931620781077,0.14133109607161576,0.379978015606234,True,0.008946267844509357,True
30,ANO1,0.47880097696697976,2.3456585704315644,5.7254809057671046e-08,0.23218367481940197,0.08696288264635406,0.3083537269801258,0.6492482269538338,True,1.969565431583884e-05,True
32,ANXA2,0.2591723182994164,2.656014882818152,5.414583178142905e-19,0.17423111011735695,0.02888241323960326,0.20256278834979402,0.31578184824903877,True,1.8626166132811593e-16,True
33,ANXA5,0.22209092522893017,2.628559929412096,1.3687836888548875e-20,0.14656015122733404,0.02374275669901971,0.17555512209885155,0.2686267283590088,True,4.708615889660813e-18,True
36,AP2M1,0.34343556955869964,2.50417488234003,4.6142567149570616e-08,0.13691828724232066,0.06252926641493843,0.2208782073854203,0.465992931731979,True,1.5873043099452293e-05,True
38,APOL1,0.25114956886519096,2.6645165818078653,2.0189929568727212e-05,0.10444969998846412,0.058746493397807964,0.13600644180548738,0.36629269592489455,True,0.006945335771642161,True
39,APOL2,0.28754174812236394,2.6640443242064804,5.620728915842899e-09,0.16091677745875063,0.049008088115137516,0.19148589541669442,0.38359760082803346,True,1.933530747049957e-06,True
40,APP,0.1778883381973423,2.657287771767707,1.763676554192149e-34,0.1650983215590527,0.014425267138262093,0.1496148146063486,0.20616186178833598,True,6.067047346420993e-32,True
42,ARF6,0.49025008776632545,2.4093461503304914,7.394273797663427e-06,0.1671981509334611,0.10856909760458926,0.2774546564613305,0.7030455190713204,True,0.002543630186396219,True
