,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
11,APP,0.229166258085469,1.9209041709102266,0.00012416801030585065,0.18466327998816887,0.05916183389750513,0.11320906364635895,0.34512345252457904,True,0.0049667204122340256,True
26,CLIC4,0.12499124245864852,1.9575027533256624,0.0010016877440799188,0.1274938393388552,0.03782082478800585,0.050862425874157055,0.19912005904314,True,0.04006750976319675,True
28,COL18A1,0.8222495176676113,1.506716334552415,2.9005716407131254e-05,0.38575000048311003,0.18836467875369894,0.45305474731036144,1.1914442880248612,True,0.0011602286562852502,True
29,COL4A1,0.4952223793685622,1.6875174323383382,1.3726993747571935e-05,0.27332503841336553,0.11157468493925735,0.2765359968876179,0.7139087618495066,True,0.0005490797499028774,True
38,DKK3,0.47857910961435485,1.7019959501884423,1.0045923258545368e-05,0.2736792564881591,0.10616204042800854,0.2705015103754581,0.6866567088532516,True,0.00040183693034181474,True
48,GRIK3,0.44395817288242767,1.6262897159573009,0.0004120510937230671,0.2577432229264512,0.12336506312540532,0.20216264915663323,0.685753696608222,True,0.016482043748922683,True
58,IL1RL1,0.13182723387863832,1.7570576124695059,5.072866054952858e-06,0.31250162138201815,0.02812487551663338,0.0767024778660369,0.18695198989123973,True,0.00020291464219811432,True
63,KIT,0.11297831521842445,1.7615832909299156,0.0006915456715194917,0.25407856089207526,0.032697378764706325,0.04889145283960006,0.17706517759724885,True,0.02766182686077967,True
66,L1CAM,0.4159482193439091,1.7017868442442503,9.033095474970543e-07,0.26726937556575625,0.08305923217025951,0.2531521242902004,0.5787443143976178,True,3.613238189988217e-05,True
91,PRNP,0.21056368800802114,1.881622025051442,2.9691348184831196e-06,0.21013881264857304,0.044529467917700974,0.12328593088932722,0.29784144512671507,True,0.00011876539273932479,True
99,SCN7A,0.1717852622712055,1.844872528456963,5.789441296995872e-07,0.18876695135975,0.034046424390680514,0.1050542704654717,0.2385162540769393,True,2.315776518798349e-05,True
121,VIM,0.06998389856461758,1.8876232069410248,3.994867506542929e-06,0.13469811676604856,0.01510280223488851,0.040382406184236094,0.09958539094499906,True,0.00015979470026171715,True
