,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
4,ACLY,0.3420740398957398,2.9762866167240944,1.9580449443975064e-05,0.16389439364291353,0.07954373386721059,0.18616832151600707,0.4979797582754726,True,0.006951059552611148,True
21,ALDH7A1,0.40403376908726163,2.8189690840240806,0.000117401076993311,0.15130705043473092,0.10425583336861222,0.1996923356847817,0.6083752024897415,True,0.041677382332625405,True
29,ANXA1,0.17408871344069166,2.8313250733258433,5.912337822012533e-08,0.1446230259457908,0.03193593410165252,0.11149428260145272,0.2366831442799306,True,2.098879926814449e-05,True
30,ANXA2,0.08230265100370258,2.948866987669551,8.093541044396268e-09,0.12260354965621158,0.014216927681348485,0.05443747274825955,0.11016782925914562,True,2.8732070707606753e-06,True
32,ANXA5,0.13305036913147156,2.8927384569391124,6.476729458862042e-05,0.09681556584974711,0.03322317005386235,0.06793295582590135,0.19816778243704175,True,0.02299238957896025,True
51,ATP1A1,0.1412400857409245,2.9211531307890746,1.4299221175790585e-07,0.12307904517451333,0.02673871909974253,0.08883219630542914,0.19364797517641985,True,5.076223517405658e-05,True
63,BCL2L1,0.20260601303146392,2.9287101084283615,1.724599258521907e-05,0.12866658986579205,0.046934019278873626,0.1106153352448716,0.29459669081805623,True,0.0061223273677527695,True
74,C1QBP,0.3654546182590218,2.9884018599365825,9.42764859569809e-05,0.14950829459174966,0.0930266488309881,0.18312238655028515,0.5477868499677585,True,0.03346815251472822,True
76,C4B,0.13274458695846236,2.9983444833356616,2.147802956810259e-05,0.15356432574983203,0.031045340787308015,0.07189571901533866,0.19359345490158608,True,0.00762470049667642,True
80,CABCOCO1,0.16134976427495343,2.764326730428143,2.0482641768589418e-07,0.12742595187100408,0.030927533131353956,0.10073179933749968,0.22196772921240718,True,7.271337827849244e-05,True
81,CALM3,0.44099325356081326,2.816025192261156,5.520929646734003e-10,0.2446543954811001,0.06996548833756504,0.3038608964191858,0.5781256107024407,True,1.959930024590571e-07,True
82,CANX,0.14954628264310424,2.9475554172029086,1.9528578695034528e-07,0.12174188337699797,0.02862691302133209,0.09343753312129335,0.20565503216491512,True,6.932645436737258e-05,True
90,CCDC14,1.2937556890716326,2.358375921303276,2.322948397753775e-05,0.4279471734909772,0.28962846689026256,0.726083893966718,1.8614274841765472,True,0.008246466812025902,True
97,CCL5,0.06491975533308054,2.979923548244903,1.9677706443614717e-08,0.12397099615842136,0.011516080484517943,0.042348237583425374,0.08749127308273572,True,6.9855857874832246e-06,True
101,CCNO,0.3163764980954595,3.283206335358302,3.525335262100603e-08,0.3858887057924696,0.055017260911184786,0.2085426667095373,0.42421032948138165,True,1.251494018045714e-05,True
103,CCT3,0.39099614827700996,2.8779510076804566,1.924408345125807e-10,0.19888845607301547,0.06077371096157916,0.2718796747923148,0.5101126217617051,True,6.831649625196615e-08,True
104,CCT5,0.3792682439577659,2.87168621401166,1.0877135284716925e-06,0.1731793427020029,0.07718141561499556,0.22799266935237464,0.5305438185631572,True,0.0003861383026074508,True
105,CCT6A,0.4481736539440137,2.78778885680225,2.3974722203765295e-05,0.1670475540509592,0.10530425075899028,0.24177732245639277,0.6545699854316347,True,0.00851102638233668,True
106,CCT7,0.41370178050042206,2.7474128189029194,1.2360083527491172e-09,0.21241195160608065,0.06728807597696222,0.2818171515855761,0.545586409415268,True,4.3878296522593664e-07,True
112,CD46,0.22806555943068102,2.934332593134381,2.1298845490984841e-07,0.1477959181676517,0.04371188720401242,0.14239026051081666,0.3137408583505454,True,7.561090149299618e-05,True
113,CD47,0.1921989237059919,2.9344737763498485,4.6321385614786936e-06,0.12748939677606147,0.041777640662208675,0.1103147480080629,0.2740830994039209,True,0.0016444091893249363,True
115,CD99,0.09433817323145272,2.9783066560365326,9.629983077985467e-05,0.08989003635966458,0.0241386815760716,0.04702635734235238,0.14164998912055304,True,0.03418643992684841,True
120,CDH1,0.13912883408551163,2.946010555307951,1.2027378924046439e-08,0.13162796033889937,0.024301554193743836,0.09149778786577371,0.18675988030524954,True,4.269719518036486e-06,True
122,CDK1,0.6474839794150518,3.1629400309279223,4.837735784783197e-06,0.4134193158659765,0.1347499590370136,0.38337405970250515,0.9115938991275984,True,0.0017173962035980349,True
126,CDKN1A,0.12457947995667217,2.871136031541243,1.0994855250981489e-21,0.20426893859021933,0.012881663223764425,0.09933142003809389,0.14982753987525044,True,3.9031736140984285e-19,True
140,CLCN3,0.2310761861505031,2.9166616934901315,4.4842036591532635e-05,0.12356184161070156,0.05639176913635898,0.1205483186432395,0.3416040536577667,True,0.015918922989994085,True
159,CSNK1A1,0.1888282902627753,3.037486124615314,5.6178324779358995e-05,0.11213009334812868,0.04671797537405578,0.09726105852962598,0.28039552199592466,True,0.019943305296672445,True
161,CSNK2B,0.4794372629866076,2.734841284933283,8.561644881456871e-05,0.1557293129856473,0.12125649616851615,0.24177453049631595,0.7170999954768993,True,0.03039383932917189,True
171,CTTN,0.24879446236533903,2.916030755203571,5.9157226296620124e-05,0.12240110687665434,0.061700486506654335,0.12786150881229652,0.36972741591838154,True,0.021000815335300144,True
200,DNAH9,0.17735425718299191,3.003013575853517,1.3395035291663565e-05,0.1220674340240451,0.04057702340676522,0.09782329130573209,0.25688522306025174,True,0.004755237528540565,True
202,DNAJA1,0.266453635416919,2.9341645178715723,3.837218458366447e-10,0.17375572572278009,0.042227011493928907,0.18368869288881837,0.34921857794501965,True,1.3622125527200887e-07,True
204,DNAJC10,0.14022615473538833,2.918111493558178,1.798621645398007e-11,0.14418479924558608,0.020750445617204998,0.09955528132566653,0.1808970281451101,True,6.385106841162924e-09,True
218,EEF1G,0.06315315209610343,2.6017479540196193,7.426364420163008e-61,0.2740350059611613,0.003762467615346603,0.05577871557002409,0.07052758862218278,True,2.636359369157868e-58,True
219,EFHC1,0.20595946831228007,3.122092138510957,5.28573459257394e-05,0.13803700834520702,0.050687312308470664,0.10661233618767757,0.30530660043688257,True,0.01876435780363749,True
220,EFR3A,0.39330820710801034,2.761195371811667,3.154516347586421e-06,0.1566248429225554,0.08384458008783004,0.22897283013586348,0.5576435840801572,True,0.0011198533033931794,True
224,EIF3A,0.3303426430180151,2.949062087743833,0.0001281914906721169,0.13286946735095395,0.08584361825602246,0.16208915123621107,0.4985961347998191,True,0.04550797918860149,True
225,EIF3C,0.2809711305958927,2.7832052300053625,8.157872608182874e-20,0.2210177106165658,0.030448586297069716,0.22129190145363603,0.34065035973814933,True,2.89604477590492e-17,True
239,EPCAM,0.07642227223445362,2.9415540653538477,4.093838176619067e-07,0.10022712045915855,0.015050120700710675,0.046924035661060695,0.10592050880784655,True,0.00014533125526997688,True
248,EWSR1,0.1789753790620273,3.0575402511304057,3.4929558050519014e-05,0.11663673935949506,0.04308785639951527,0.09452318051897736,0.26342757760507723,True,0.01239999310793425,True
249,F11R,0.23177403972276134,2.895806881048438,2.6531505058230763e-18,0.21619235541983883,0.026241898384230907,0.18033991888966877,0.2832081605558539,True,9.41868429567192e-16,True
267,FOXA1,0.1130635662299831,2.899555727840351,3.993896009786216e-07,0.11408498827637986,0.02222797336638901,0.06949673843186065,0.15663039402810558,True,0.00014178330834741065,True
268,FOXJ1,0.12427799294774565,2.952517704309016,2.4453616477934804e-18,0.19620136121231713,0.014087043764550035,0.09666738716922758,0.15188859872626373,True,8.681033849666855e-16,True
276,GANAB,0.22601541007292394,2.8916784856312416,9.414246643395539e-11,0.16858982205058276,0.034642874474552006,0.15811537610280202,0.29391544404304587,True,3.3420575584054164e-08,True
290,GOLPH3,0.18879888583866491,2.774517311880655,1.5261031236704412e-13,0.1674964619710859,0.025380698100302586,0.13905271756207185,0.23854505411525798,True,5.417666089030066e-11,True
