,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
2,ABCC4,0.15815010313140207,3.901794733348088,2.844170988710125e-14,0.11810591280182854,0.02072069677336052,0.11753753745561545,0.19876266880718868,True,1.36520207458086e-11,True
5,ACACA,0.12924138541758484,3.8068144015353225,1.4739215924182994e-08,0.08127517637659464,0.022776769852784356,0.0845989165061275,0.1738838543290422,True,7.0748236436078375e-06,True
11,ADAM9,0.17322446963777904,3.761327161989548,7.911799684358749e-08,0.08742222298364528,0.03219904961485882,0.11011433239265576,0.2363346068829023,True,3.7976638484921994e-05,True
23,AHCY,0.2968712853445918,3.7136698071265095,5.589998220812826e-23,0.1630107042860648,0.029872364211008466,0.2383214514910152,0.3554211191981684,True,2.6831991459901565e-20,True
37,ALG2,0.15073355316896947,3.771567117975882,4.529418955207877e-05,0.07021942015056984,0.0369081512034399,0.07839357681022727,0.22307352952771167,True,0.02174121098499781,True
40,AMACR,0.03012530604946655,4.011908545131683,3.995249077625327e-05,0.06934517408754234,0.007324406566508916,0.015769469179109076,0.044481142919824024,True,0.019177195572601568,True
46,ANXA2,0.10362116627170273,3.896360104911108,1.0958720885068083e-06,0.106315089273496,0.021198837965530067,0.062071443859263796,0.14517088868414166,True,0.000526018602483268,True
48,ANXA5,0.07957835177833186,3.784166604037929,1.1692618925560111e-07,0.06702577977072917,0.01500227470857286,0.050173893349529056,0.10898281020713467,True,5.612457084268853e-05,True
51,AP2M1,0.23837649758441834,3.730865228490605,2.0056356254603307e-13,0.11927674082885115,0.032320872382177186,0.17502758771535104,0.30172540745348564,True,9.627051002209587e-11,True
53,APEX1,0.3626853430424274,3.74924236711403,4.1265196040509764e-17,0.15858012398605834,0.04285117473858921,0.27869704055479255,0.4466736455300622,True,1.9807294099444687e-14,True
56,APMAP,0.21512019025521742,3.701289835864568,1.0251462715626216e-20,0.1355062764687055,0.022940470872590935,0.17015686734493918,0.26008351316549566,True,4.920702103500584e-18,True
62,ARF6,0.14747323077791416,3.844085144832961,7.146420660993241e-06,0.07296425676463532,0.03280408329136038,0.08317722752684782,0.2117692340289805,True,0.0034302819172767557,True
72,ATF4,0.0851119758486398,3.8210402934232888,1.1646265255792231e-08,0.07223736162982748,0.014899188129974685,0.05590956711388942,0.11431438458339019,True,5.590207322780271e-06,True
75,ATP1A1,0.13842516924295392,3.658782597627905,3.958146440731964e-40,0.15606520897707302,0.010374791032259603,0.1180905788197251,0.15875975966618275,True,1.8999102915513427e-37,True
77,ATP5F1A,0.18439222899588983,3.7494554032461105,5.22780325665986e-24,0.13843380350936763,0.018157831716307478,0.14880287883192717,0.2199815791598525,True,2.5093455631967327e-21,True
90,BCAM,0.04533083617029915,3.766746801681598,1.0138403360988266e-07,0.05899194548111589,0.008506390680931323,0.028658310435673757,0.062003361904924545,True,4.8664336132743676e-05,True
98,BHLHE40,0.20013762472414312,3.912848384835792,5.855881657462682e-05,0.0999468313839259,0.04967085297229142,0.10278275289845193,0.29749249654983434,True,0.028108231955820875,True
109,C1QBP,0.30193489162728393,3.89356163206179,3.952603085416328e-08,0.11484555380981923,0.05477927492354649,0.1945675127771328,0.40930227047743506,True,1.8972494809998375e-05,True
115,CALM3,0.2850287118498845,3.7013795534338776,1.8180411749752213e-06,0.10095573942705971,0.05956150609514209,0.168288159903406,0.40176926379636296,True,0.0008726597639881062,True
118,CANX,0.1065423634236771,3.719745269611559,1.5825106232846535e-23,0.11636492711873073,0.010621547653509722,0.08572413002279804,0.12736059682455614,True,7.596050991766337e-21,True
124,CBWD2,0.21641436486913293,3.7599293578298023,3.91645910041137e-05,0.08130984109901457,0.05253303495728675,0.1134496163528509,0.31937911338541497,True,0.01879900368197458,True
129,CCDC6,0.1689941415079002,3.8872989696623934,2.4106807283506187e-06,0.0801130318514588,0.03577743085260088,0.09887037703680249,0.23911790597899793,True,0.001157126749608297,True
135,CCN3,-0.13209282120777968,3.7492772929213323,1.692977750098227e-08,-0.11110750336473957,0.02334258368939295,-0.17784428523898987,-0.0863413571765695,True,8.12629320047149e-06,True
140,CCT3,0.2947992279727266,3.680825202127679,2.391122160203547e-32,0.1830838842369779,0.024682740114178002,0.24642105734893774,0.3431773985965155,True,1.1477386368977027e-29,True
141,CCT5,0.350216618338648,3.820716140590243,6.845357850262419e-13,0.14465468809100984,0.04849727191364442,0.2551619653879049,0.44527127128939104,True,3.285771768125961e-10,True
142,CCT6A,0.2754934893568,3.898565897719444,2.2026536636710274e-06,0.09884322857617764,0.058046963303364264,0.16172144128220606,0.38926553743139397,True,0.0010572737585620932,True
143,CCT7,0.19283451467921361,3.901903176712414,4.197230360275821e-06,0.08553233503441707,0.04182754467593855,0.11085252711437406,0.2748165022440532,True,0.0020146705729323943,True
