,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ABCC1,0.19694301687576382,4.647854494268481,1.0448352660765185e-09,0.09739074219122446,0.03219409129087637,0.13384259794564612,0.2600434358058815,True,6.24811489113758e-07,True
7,ACACA,0.11987074135523748,4.571880773088837,1.4052677009418034e-24,0.10185643900086785,0.01168288176011047,0.09697229310542096,0.142769189605054,True,8.403500851631984e-22,True
10,ACLY,0.12057564647558651,4.6427961141149705,3.084913911026653e-10,0.07419972705480828,0.019128767534319017,0.08308326210832123,0.1580680308428518,True,1.8447785187939385e-07,True
11,ACPP,-0.06208631076035514,4.828809742543135,2.3316964108344013e-35,-0.11416923634828298,0.004986768030705802,-0.07186037610053851,-0.052312245420171766,True,1.3943544536789719e-32,True
15,ADAM9,0.10988881342650081,4.599770108949516,5.491005547534819e-07,0.06201534201907362,0.021919321629122607,0.0669269430334205,0.1528506838195811,True,0.0003283621317425822,True
29,AHCY,0.10371831581795256,4.676289284848285,1.5502416917613012e-11,0.07564009711729826,0.015358817628923497,0.0736150332652625,0.1338215983706426,True,9.270445316732581e-09,True
34,AKT1,0.13161631729542717,4.605333396673225,5.410490008495697e-11,0.07648683507077982,0.020035865538923114,0.09234602083913787,0.17088661375171646,True,3.2354730250804266e-08,True
67,AP2M1,0.14531669332281205,4.572495247640114,2.1331688587915006e-21,0.10188129122312552,0.015258878441055801,0.11540929157834268,0.17522409506728143,True,1.2756349775573173e-18,True
69,APEX1,0.15751264021083272,4.591818401751293,8.829528506462952e-17,0.09677719609546978,0.018887660534226424,0.12049282556374893,0.1945324548579165,True,5.280058046864846e-14,True
75,APP,-0.019649017391282345,4.710617947264026,8.10950698019582e-05,-0.03445328369625355,0.004984041354368995,-0.029417738445845575,-0.009880296336719115,True,0.048494851741571,True
79,ARF1,0.08724565960831238,4.612201126815997,2.5985213715998537e-09,0.06186762296079201,0.01463604518587413,0.058559011043999076,0.11593230817262568,True,1.5539157802167125e-06,True
80,ARF6,0.11576372194041037,4.590206943273911,2.0153505453026433e-14,0.08217925656299055,0.015107148332587765,0.08615371120853835,0.1453737326722824,True,1.2051796260909807e-11,True
89,ASTN2,-0.13080257526023928,4.809158454638575,6.000605725848728e-08,-0.06931683864233552,0.024108688221871406,-0.17805560417510724,-0.08354954634537132,True,3.588362224057539e-05,True
92,ATF4,0.058756880678966346,4.601614503988632,2.1337721640073534e-10,0.058873101931204666,0.009242798564620257,0.04064099549231064,0.07687276586562206,True,1.2759957540763974e-07,True
98,ATP1A1,0.04096371616817315,4.612865011398673,1.3900963546952886e-08,0.05114205736679302,0.007213906867131333,0.02682445870859574,0.055102973627750566,True,8.312776201077826e-06,True
101,ATP5F1A,0.06960453482961641,4.697007615929306,2.0543196885260407e-07,0.055644573445463225,0.01338926488270341,0.04336157565951773,0.0958474939997151,True,0.00012284831737385723,True
110,B2M,-0.06105924141057475,4.740530524493789,6.324009979356336e-13,-0.07073235508473497,0.008477493040001352,-0.07767512776897739,-0.0444433550521721,True,3.7817579676550893e-10,True
116,BCAM,0.02778320196999318,4.607702126438594,1.1652477827263593e-06,0.04145062771414464,0.005712434029855892,0.01658683127147563,0.03897957266851073,True,0.0006968181740703629,True
