,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ACACA,0.29070718686327496,4.160307799790014,1.1191575762615792e-09,0.18039981477618838,0.0473193579233594,0.19796124533349052,0.3834531283930594,True,6.759711760619938e-07,True
5,ACLY,0.2809486844426196,4.076528195838167,1.2620850352068885e-07,0.15578933548688156,0.05282917201830901,0.17740350728673396,0.3844938615985053,True,7.622993612649607e-05,True
13,ADIPOR1,0.3442695333588773,4.3872984592649305,4.7945709511307124e-05,0.15227288282268955,0.08415640424347312,0.17932298104166997,0.5092160856760846,True,0.028959208544829505,True
15,ADNP,0.4549007051739836,4.2324422056621644,5.6683063918217676e-05,0.16665647098382316,0.11214159219663491,0.2351031844685792,0.6746982258793881,True,0.03423657060660348,True
19,AHCY,0.33697117581403313,4.066553950914119,2.0483620795966377e-14,0.21519150692246558,0.04353256494333709,0.2516473485250924,0.42229500310297385,True,1.2372106960763692e-11,True
21,AKT1,0.3428569613983581,4.103283436580236,3.6067071119952666e-11,0.19783151098787083,0.051268073654962866,0.24237153703463088,0.4433423857620853,True,2.178451095645141e-08,True
24,ALCAM,0.2833737914276992,4.048033231067722,3.2448186831713944e-05,0.13936042456018582,0.06783807058228532,0.15041117308641996,0.41633640976897845,True,0.019598704846355224,True
27,ALDH7A1,0.3418232335375496,4.157771785531903,4.9075058042519636e-09,0.1852138692388367,0.05790469072003534,0.22833003972628035,0.4553164273488189,True,2.964133505768186e-06,True
33,AMACR,0.1459543041585971,4.646048525268146,1.5167661081982838e-11,0.2511567026774119,0.02127574972941373,0.10425383468894617,0.187654773628248,True,9.161267293517635e-09,True
34,ANPEP,0.07162419056050441,3.7290778412243593,1.8211365331991378e-07,0.14357720210731834,0.013655679064450012,0.04485905959418239,0.09838932152682643,True,0.00010999664660522792,True
38,ANXA5,0.35075838486111993,4.263444617352118,5.832595867247121e-10,0.20583087414378656,0.05599321864077305,0.24101167632520476,0.4605050933970351,True,3.5228879038172614e-07,True
42,AP2M1,0.49646527517648387,4.09659868011471,2.218623583833875e-18,0.2743403829309809,0.05564663537131556,0.3873978698487054,0.6055326805042623,True,1.3400486446356604e-15,True
43,APEX1,0.3956679064206695,4.23246279074632,3.6446607188106575e-07,0.1804601045398538,0.07711821183555151,0.24451621122298856,0.5468196016183504,True,0.00022013750741616372,True
44,APMAP,0.44267842327254586,4.2831456227758675,2.2059162773426702e-07,0.19752542314480145,0.08456126660679447,0.2769383407232287,0.608418505821863,True,0.0001332373431514973,True
46,APP,0.1777860699345825,4.029094720463393,1.1592416229980785e-12,0.1728071860766751,0.02481158987243582,0.1291553537846083,0.22641678608455673,True,7.001819402908394e-10,True
47,ARF1,0.34773133560175984,4.15086338392091,2.798777920280708e-08,0.17740216760060323,0.06209797610177136,0.22601930244228796,0.4694433687612317,True,1.6904618638495475e-05,True
48,ARF6,0.528913226610284,4.0667169640055,3.2110785289749253e-14,0.2591565443536797,0.06846176161410991,0.3947281738466285,0.6630982793739394,True,1.939491431500855e-11,True
59,ATP1A1,0.29109362736959055,4.1101766174155205,1.0840986470620433e-24,0.28036149990723763,0.027791842316809447,0.23662161642864404,0.34556563831053705,True,6.547955828254741e-22,True
61,ATP5F1A,0.3794085478545694,4.070611893952854,5.736069673758966e-14,0.2272809362107011,0.04981407898917146,0.28177295303579336,0.47704414267334544,True,3.4645860829504156e-11,True
