,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
8,ACPP,0.07933607031109231,5.716933862363939,4.049856890085709e-07,0.1025627725013139,0.01561565819919323,0.04872938024067358,0.10994276038151105,True,0.00023772659944803112,True
12,ACTN4,0.31779805672041517,6.137693892208908,8.236250207576873e-08,0.10815192867102959,0.05908965576067131,0.2019823314294994,0.43361378201133094,True,4.834678871847624e-05,True
15,ADAM10,0.5036570364336032,6.2037761660459365,7.604398212885093e-05,0.11655311908392683,0.12683472675530977,0.255060971993196,0.7522531008740103,True,0.0446378175096355,True
18,ADAM9,0.4697386284163061,6.1668381515019535,3.3382178130260666e-07,0.14000954422735198,0.091573907945745,0.29025376884264587,0.6492234879899663,True,0.00019595338562463011,True
30,AHR,0.34820052653142364,6.386146043820587,1.0371355921068439e-05,0.11387594129523138,0.07869913977137107,0.19395021257953635,0.5024508404833109,True,0.006087985925667174,True
37,ALDH2,0.24620522503942505,6.210331226350183,7.185620572666609e-06,0.09129832846915972,0.05473672414154997,0.1389212457219871,0.353489204356863,True,0.0042179592761552994,True
52,ANXA1,0.2679867474640053,6.36441366922877,9.340796474234851e-06,0.121508677736661,0.06023163760915092,0.1499327377500695,0.3860407571779411,True,0.005483047530375857,True
53,ANXA2,0.16086665050723584,6.06141954061534,1.7025270900422243e-83,0.26307803012302755,0.008160609150642874,0.1448718565719758,0.17686144444249588,True,9.993834018547856e-81,True
54,ANXA3,0.4700755902337345,6.311461108334669,2.2487516624894785e-06,0.15646678938710884,0.09874595841159688,0.27653351174700463,0.6636176687204645,True,0.0013200172258813238,True
55,ANXA5,0.30202808128715325,6.138656703702818,1.2663967469178916e-10,0.1231029655581798,0.04677980354311721,0.2103396663426435,0.393716496231663,True,7.433748904408023e-08,True
56,ANXA8,0.5195490977548608,6.535426935297968,2.9134903692304954e-05,0.18688663729700639,0.1231249205264126,0.2782242535230921,0.7608739419866295,True,0.017102188467383008,True
58,AP2M1,0.27367757386086095,6.236465358803125,6.890415232632096e-07,0.0961145342430538,0.054994692728855696,0.16588797611230377,0.3814671716094181,True,0.00040446737415550404,True
67,APP,0.19787967080323088,5.918914345047021,4.6826808263923937e-60,0.21137025873987603,0.01196748587991394,0.17442339847859956,0.2213359431278622,True,2.748733645092335e-57,True
77,ARRDC3,0.4660032064222815,6.177131313766283,4.169824769497508e-08,0.1661968696884806,0.08436875121811303,0.30064045403477996,0.6313659588097831,True,2.447687139695037e-05,True
82,ATF4,0.22404732459145923,6.099661609427238,1.3402400376143226e-14,0.12053068283767472,0.02898160919459951,0.1672433705700442,0.2808512786128743,True,7.867209020796074e-12,True
86,ATP1A1,0.22815813932711262,5.9936657451432,2.0661355065194864e-35,0.1679140369605727,0.018239935163869143,0.1924078664059291,0.26390841224829614,True,1.2128215423269385e-32,True
88,ATP5F1A,0.19479786203672514,6.167612423270846,4.0338726806956526e-10,0.10116540586882432,0.03107201315980403,0.13389671624350924,0.25569900782994104,True,2.3678832635683482e-07,True
93,B2M,0.23199990238981788,5.8478362116089615,4.038549778919185e-47,0.20229393131459422,0.015923377116743374,0.20079008324100087,0.26320972153863487,True,2.3706287202255615e-44,True
94,BACE2,0.3497564949256911,6.330756723087136,6.347839959665261e-19,0.1869875115714383,0.039007329425894785,0.27330212925093733,0.4262108606004449,True,3.726182056323508e-16,True
98,BCAM,0.33196354873229783,6.24181449241155,1.7067093542173757e-06,0.10716577850357577,0.0691615406513244,0.196406929055702,0.46752016840889365,True,0.0010018383909255995,True
102,BCL2L1,0.519235494213961,6.0799028869981395,2.5580118289296887e-07,0.13715264757872528,0.10025999729914169,0.3227258995076433,0.7157450889202787,True,0.00015015529435817273,True
107,BHLHE40,0.34657538666432036,6.318638300483435,5.52705338339856e-13,0.15995871211549914,0.04774058242203101,0.2530038451171396,0.44014692821150114,True,3.244380336054955e-10,True
127,C4B,0.35966471801794997,6.179066836073019,6.1794747846439506e-12,0.18836636844396543,0.05182983690306996,0.2580782376879328,0.46125119834796713,True,3.627351698585999e-09,True
136,CANX,0.2652131015881325,6.199228856394364,6.654936274382907e-09,0.10693266104222895,0.04559575056430578,0.17584543048209317,0.3545807726941718,True,3.9064475930627666e-06,True
141,CBWD2,0.7360778104355422,5.644141405103356,6.421207675943038e-07,0.1448606292320255,0.14704858987288025,0.44786257428469695,1.0242930465863875,True,0.00037692489057785636,True
160,CCND1,0.3387983075925708,6.364685756186407,8.780826827198165e-12,0.16424091553128659,0.049293205582775716,0.2421836246503304,0.4354129905348112,True,5.154345347565323e-09,True
168,CCT6A,0.4467990285828968,6.063556611337496,9.533269664945716e-06,0.11137442587768193,0.10058384950434883,0.24965468355437306,0.6439433736114205,True,0.0055960292933231355,True
178,CD44,0.1693766646204386,6.121640415708372,6.140519701424446e-08,0.09438332865278712,0.03120879530513073,0.10820742582238237,0.23054590341849485,True,3.60448506473615e-05,True
179,CD46,0.4549681791625385,6.064011209851099,2.230767076433039e-12,0.14910181102046985,0.06444598763097131,0.3286540434058347,0.5812823149192423,True,1.3094602738661937e-09,True
180,CD47,0.3865775805066365,6.177510318638199,2.3149155692074955e-16,0.15704650954114976,0.04681937869674925,0.29481159826100795,0.47834356275226503,True,1.3588554391248e-13,True
182,CD59,0.34199281199695536,6.214614551689147,2.018287867948618e-08,0.11944441983936668,0.06073088063861289,0.2229602859452741,0.46102533804863666,True,1.1847349784858388e-05,True
184,CD82,0.41555548691675953,6.2568267486659686,5.401463782868302e-09,0.13375769075130373,0.07089559201869884,0.2766001265601098,0.5545108472734093,True,3.170659240543693e-06,True
189,CDC42,0.2715999832173718,6.3000796802776255,3.653047226455445e-06,0.09197646938289258,0.058527977967807704,0.1568851464004687,0.38631482003427486,True,0.002144338721929346,True
190,CDH1,0.327956693373701,6.055050457721657,2.2366456781076556e-23,0.1736685039618179,0.032666740204585196,0.263929882572714,0.39198350417468797,True,1.3129110130491938e-20,True
191,CDH3,0.4297238132075718,6.107840844680856,1.0637787607123e-07,0.13075232488714375,0.08048334869292684,0.27197644976943525,0.5874711766457084,True,6.244381325381202e-05,True
195,CDKN1A,0.25107233860043465,6.116283542817043,2.405867560421558e-24,0.19018985578130282,0.024431447620278216,0.20318670126468935,0.29895797593617995,True,1.4122442579674547e-21,True
196,CDKN1B,0.38748313610758217,6.042241899629892,5.947752559901033e-07,0.1128072678243759,0.07734846757882445,0.23588013965308624,0.5390861325620782,True,0.00034913307526619064,True
211,CKAP4,0.45555795115865555,5.905674887982156,4.2248138405184516e-05,0.1110406327921368,0.11088665521042702,0.2382201069462186,0.6728957953710926,True,0.02479965724384331,True
236,CP,0.1713087252156486,6.751997779488,4.0071506593406385e-14,0.2077654094530265,0.022403812650254047,0.1273972524211507,0.21522019801014652,True,2.3521974370329548e-11,True
247,CSNK1A1,0.21474564995358256,6.298842344636606,2.4692026654613596e-06,0.08647250839726398,0.045497846096676536,0.12556987160409655,0.30392142830306856,True,0.001449421964625818,True
251,CSRP1,0.22858360944306108,6.21186911700691,3.5911212583895964e-05,0.0909345994562979,0.0551944873999627,0.12040241413913419,0.336764804746988,True,0.02107988178674693,True
256,CTNNA1,0.379909743335189,6.172541191054994,7.419518372999249e-09,0.12219657112255868,0.06546097808749397,0.25160622628370083,0.5082132603866771,True,4.355257284950559e-06,True
257,CTNNB1,0.2956092057021492,6.148438650396664,1.9683561372811586e-11,0.11752673566055905,0.0439093252829762,0.20954692814751585,0.3816714832567826,True,1.15542505258404e-08,True
258,CTNND1,0.2560927592265004,6.25504721461014,4.111296040036614e-08,0.10046927151672944,0.04655884894536486,0.16483741529358525,0.3473481031594155,True,2.4133307755014927e-05,True
261,CTTN,0.34482901826054474,6.221154820557265,3.7189233255235976e-08,0.11549871806665435,0.0624368328656971,0.2224528258437784,0.4672052106773111,True,2.183007992082352e-05,True
267,CXADR,0.34220826955395034,6.2439588339063965,1.927048066777573e-08,0.12167129996739605,0.06067408893426266,0.22328705524279552,0.46112948386510516,True,1.1311772151984352e-05,True
276,CXCL9,0.1343216604081889,5.585339190598097,1.3693659158710668e-05,0.3285995118504326,0.029964909081615122,0.07559043860822327,0.19305288220815453,True,0.008038177926163162,True
284,DAP,0.311997943007789,6.104458498521005,2.6853898759900945e-16,0.1397417813181188,0.037919929677438034,0.23767488084001043,0.38632100517556756,True,1.5763238572061855e-13,True
290,DDR1,0.24683932387403298,6.315700955382839,1.3006247380055784e-06,0.0929976680190681,0.05088802969369693,0.147098785674387,0.34657986207367897,True,0.0007634667212092746,True
310,DNAJA1,0.3565999301513151,6.183102564788846,1.2161445444052201e-05,0.09838592510967724,0.08130617943068656,0.19723981846716943,0.5159600418354607,True,0.007138768475658642,True
320,DST,0.06363560358509644,6.222353901430645,4.565186767508134e-05,0.06388951539075625,0.01559213345647529,0.03307502201040488,0.094196185159788,True,0.026797646325272748,True
322,DUSP23,0.41423189257215,6.456738033823434,1.858650205206407e-05,0.14626968239895916,0.09620442399567934,0.22567122154061847,0.6027925636036815,True,0.010910276704561609,True
323,DUSP5,0.2386655628422858,6.87194615159784,5.803278398665804e-11,0.22633883522601783,0.035955575334603494,0.16819263518646294,0.30913849049810865,True,3.406524420016827e-08,True
336,EEF1G,0.057799996555511726,5.342976599357259,8.214739885120662e-135,0.2686794924916888,0.0022953257285425158,0.053301158127568395,0.06229883498345506,True,4.822052312565829e-132,True
342,EGLN3,0.30353588761964523,7.038549496440402,7.981076786685025e-05,0.16940077526949104,0.0763475685774837,0.15389465320777718,0.4531771220315133,True,0.046848920737841096,True
345,EHF,0.28133907005664155,6.2393125997140935,2.1759006081728946e-11,0.12799430684802704,0.041853098157141166,0.19930699766864485,0.36337114244463825,True,1.2772536569974891e-08,True
350,EIF3C,0.20517265959432,6.177752272137837,1.072067250579892e-07,0.08933233555291757,0.03852932446853024,0.1296551836360007,0.2806901355526393,True,6.293034760903965e-05,True
351,EIF4A1,0.29805058181096566,6.078647120414922,5.616001147345063e-22,0.152801522217933,0.03074543381788787,0.23778953152790544,0.3583116320940259,True,3.296592673491552e-19,True
