,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
0,ABCA1,0.19018018186769256,4.285989510199888,2.366132017206053e-09,0.09608083405044827,0.03177773169016072,0.12789582775497754,0.2524645359804076,True,2.0348735347972055e-06,True
6,ABI3,0.532212824018225,4.097477968033778,4.1901188124450997e-07,0.14081170321768646,0.10463150480885884,0.3271350745928617,0.7372905734435884,True,0.00036035021787027857,True
8,ABL2,0.3075296657962748,4.363238020865057,5.43329772822656e-05,0.10309687583819181,0.0759777074701482,0.1586133591547843,0.45644597243776525,True,0.04672636046274842,True
20,ADAM28,0.7127935300905546,3.882834649068078,3.779105597216972e-08,0.15693143845016205,0.12874480350655526,0.4604537152177063,0.9651333449634029,True,3.250030813606596e-05,True
21,ADAM8,0.5430064771172157,4.3699289857712,3.706785172325679e-05,0.1606828980319213,0.13072681753677387,0.2867819147451389,0.7992310394892925,True,0.03187835248200084,True
22,ADAM9,0.4875938152329914,3.922770959823425,2.585467910476063e-10,0.12389635587923126,0.0768235329779152,0.3370196905962776,0.6381679398697051,True,2.223502403009414e-07,True
24,ADAMTS1,0.14964461156529724,4.1421838316843145,1.1193304002416114e-08,0.13515502581713834,0.02607587985887551,0.09853588704190125,0.20075333608869322,True,9.626241442077859e-06,True
28,ADAR,0.4535239137091802,3.9845471082364514,5.1932242362016785e-06,0.09680271147467114,0.09928084978054574,0.2589334481393106,0.6481143792790498,True,0.004466172843133443,True
30,ADD1,0.41415241912970413,3.9154421481800488,4.2445971453955484e-05,0.09101952895846105,0.10094426081983043,0.21630166792283648,0.6120031703365718,True,0.03650353545040172,True
33,ADGRE5,0.4892578141504987,4.090192116348818,2.7596504725485317e-08,0.1354735331686202,0.08763814327533039,0.31748705333085114,0.6610285749701462,True,2.3732994063917372e-05,True
36,ADM,0.24721057322290016,4.271337933703703,3.769985117912397e-08,0.183711743865912,0.04453901228945925,0.15991410913556003,0.3345070373102403,True,3.242187201404662e-05,True
39,AEBP1,0.2674607717890263,4.194774334285443,5.0816057642789676e-12,0.15679440846235104,0.038498159067613655,0.1920043800165035,0.34291716356154905,True,4.370180957279912e-09,True
42,AHR,0.48753901167503966,4.084083621649376,1.3585108142712016e-16,0.1631993724759439,0.05856138931677689,0.37275868861415695,0.6023193347359224,True,1.1683193002732333e-13,True
