,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ABCC4,0.536969046923844,3.7361673598996674,6.616811684693093e-09,0.15572423664615023,0.09199062836355568,0.35666741533127483,0.7172706785164131,True,4.029638315978094e-06,True
6,ACLY,0.5309902847054391,3.7347546852960285,4.302721886054754e-07,0.13802561761810458,0.10451715609793508,0.3261366587534863,0.7358439106573919,True,0.0002620357628607345,True
7,ACPP,0.1479710146124991,2.2147779657689806,0.0,0.5543316084070556,0.0030735594463953643,0.14194683809756417,0.153995191127434,True,0.0,True
11,ADAMTS1,0.030903697399633816,5.310710353243644,9.092912442325391e-08,0.1893091038409482,0.005728396644820758,0.019676039975785133,0.0421313548234825,True,5.5375836773761634e-05,True
13,ADAR,0.8897361918137293,3.749172085723096,5.060649577475035e-08,0.18179736897545817,0.16186370453561177,0.5724833309239302,1.2069890527035283,True,3.0819355926822965e-05,True
14,ADD1,0.7638826942676072,3.832676541501102,1.2984485037618624e-05,0.15062241531548312,0.1741312074245022,0.42258552771558294,1.1051798608196315,True,0.007907551387909741,True
17,ADNP,0.7674521239270022,3.9431118257033533,1.5992007045728654e-05,0.1526529761946461,0.1767715674844617,0.42097985165745727,1.1139243961965473,True,0.00973913229084875,True
19,AHCY,0.5502824498277723,3.8317311048082923,2.2190285875707735e-10,0.16287713495406123,0.08612538014261513,0.3814767047482467,0.7190881949072979,True,1.3513884098306012e-07,True
20,AKT1,0.6025356334028081,3.7547657235995056,1.4132777191265774e-13,0.18378877071166855,0.0807663807193007,0.44423352719297876,0.7608377396126376,True,8.606861309480856e-11,True
27,ALDH3A2,0.6300130718980231,3.8789459250654286,4.969609277815217e-05,0.1344341412510402,0.15453818638040576,0.32711822659242784,0.9329079172036184,True,0.030264920501894672,True
28,ALDH7A1,0.5924952318053244,3.9271467494876697,5.969665369548632e-06,0.13758911854185252,0.13021191879539412,0.3372798709663519,0.8477105926442968,True,0.003635526210055117,True
31,ALG2,0.6096836912835031,3.998443060186279,4.01585721837609e-14,0.19684008142282028,0.0798317872953148,0.45321338818468604,0.7661539943823201,True,2.4456570459910388e-11,True
35,ANPEP,0.19744524520721918,3.1376436179911606,7.375991986174993e-26,0.180592447333194,0.018620835295239085,0.16094840802855057,0.2339420823858878,True,4.491979119580571e-23,True
36,ANXA1,0.441535601072169,3.7417659678366015,4.739816455811984e-05,0.1260375293038635,0.10807578544630234,0.2297070615974164,0.6533641405469216,True,0.02886548221589498,True
37,ANXA2,0.7506628148210212,3.5143424406745445,1.0839154036921011e-24,0.2607561059473531,0.0718785376591251,0.609780881009136,0.8915447486329063,True,6.601044808484895e-22,True
39,ANXA5,0.6791018262762237,3.6768420487353053,1.1311333480307075e-27,0.24830815993179978,0.061296586973183464,0.5589605158087841,0.7992431367436633,True,6.888602089507008e-25,True
41,AP2M1,0.6128914158768287,3.7966220490762392,1.7000159800722124e-24,0.23760919582937387,0.05912180933272337,0.4970126695846909,0.7287701621689665,True,1.0353097318639773e-21,True
49,APP,0.31921965705506317,3.7969082359663036,8.539016829884875e-74,0.338330900406828,0.017033555984893402,0.2858338873246721,0.35260542678545426,True,5.200261249399889e-71,True
51,ARF1,0.5474500018023027,3.5542793397679984,1.1549739121416771e-22,0.20523657331494294,0.055270705640541415,0.43911941874684157,0.6557805848577639,True,7.033791124942814e-20,True
54,ARL8B,0.49071338880289456,4.0859391574322546,6.228470722837766e-12,0.1730931159977826,0.0708299852083725,0.3518866177944845,0.6295401598113046,True,3.793138670208199e-09,True
59,ATF3,0.3822563902446241,4.5466337352923585,3.713786598332564e-07,0.214507616730055,0.07428428967206899,0.2366591824873689,0.5278535980018793,True,0.00022616960383845317,True
60,ATF4,0.42794138183950864,3.2555252666065964,2.802060036656715e-105,0.36386939115700184,0.018943715560606245,0.3908116993407204,0.46507106433829687,True,1.7064545623239395e-102,True
61,ATF6,0.5074520838693702,4.456837748932804,5.172747551933713e-05,0.1275080064490162,0.1248240090502313,0.2627970261309169,0.7521071416078235,True,0.03150203259127631,True
63,ATP1A1,0.4540948183858005,3.3593663894048573,3.5741286208351594e-59,0.2846290226979982,0.02740266883859173,0.40038558746216074,0.5078040493094403,True,2.176644330088612e-56,True
65,ATP5F1A,0.654117885049728,3.8222115768588925,1.0292320653935438e-16,0.2070680707533643,0.0779224070308972,0.5013899672691695,0.8068458028302865,True,6.268023278246682e-14,True
72,B2M,0.2826792944373068,3.0356468431854458,9.307460683840736e-188,0.43713892365062723,0.009163888019150012,0.2647180739197728,0.30064051495484084,True,5.668243556459008e-185,True
73,BACE2,0.6287879940858062,4.505785813878594,1.6560518428871146e-16,0.23962381677403058,0.0751250108457252,0.4815429728281848,0.7760330153434276,True,1.0085355723182527e-13,True
76,BCAM,0.5487036569340655,3.696895527365228,3.0058463138454795e-19,0.19994317279155216,0.06055061761051848,0.4300244464174493,0.6673828674506818,True,1.830560405131897e-16,True
77,BCCIP,0.5203699861300801,4.4284405741379675,9.064582323802999e-07,0.15058209205036843,0.10532962900330224,0.3139239132836077,0.7268160589765525,True,0.0005520330635196026,True
84,BIRC2,0.8784014486170789,3.8341553320276707,1.8398195264578998e-13,0.2322967263557089,0.11766763253579314,0.6477728888469243,1.1090300083872335,True,1.1204500916128609e-10,True
87,BMPR1A,0.639248662609069,4.240551424616182,1.3581599971679096e-07,0.16155293528378706,0.1204511482740663,0.403164411991899,0.875332913226239,True,8.27119438275257e-05,True
88,BMPR1B,0.5137980101224445,4.1753124621287565,3.406570324658664e-06,0.1400845194568663,0.11004865561064994,0.2981026451255706,0.7294933751193184,True,0.002074601327717126,True
91,BRAF,0.6901882302493626,4.0150877797546976,2.684776430996073e-05,0.14991942922993606,0.16339641337081842,0.3699312600425585,1.0104452004561666,True,0.016350288464766084,True
96,CALM3,0.5713228136121389,3.908532152946305,2.119201934398397e-05,0.13056263891708575,0.13375845416301124,0.30915624345263687,0.8334893837716408,True,0.012905939780486238,True
97,CANX,0.6724789063743218,3.66429157867412,7.103525162278853e-35,0.2648118394094494,0.05359055251932901,0.567441423436437,0.7775163893122067,True,4.326046823827821e-32,True
101,CBWD2,0.6315220477053515,4.117368676668398,1.3010674535145914e-05,0.14056693227616437,0.1440871721363455,0.3491111903181143,0.9139329050925886,True,0.007923500791903862,True
113,CCT3,0.6738181365709485,3.9618132858693507,1.4918812188113973e-06,0.14907159107472331,0.13919977466142203,0.4009865782345613,0.9466496949073356,True,0.000908555662256141,True
117,CD177,0.24113888239934636,3.5478490306999526,2.4978139245004577e-41,0.23404864679990472,0.017654985079356398,0.20653511164380783,0.2757426531548849,True,1.5211686800207788e-38,True
119,CD38,0.3211418889135694,3.8825325459550966,1.2316115474871191e-11,0.14501792369232958,0.047133809148829225,0.22875962298186409,0.41352415484527466,True,7.500514324196556e-09,True
120,CD44,0.7100679795098985,3.9993177524663266,5.99471055847723e-08,0.17872933851843464,0.1299361492241912,0.4553931270304838,0.9647428319893132,True,3.650778730112633e-05,True
121,CD46,0.5647576776932164,3.71684265191682,7.773925757521476e-49,0.29165608532248954,0.03759687461954857,0.4910678034389012,0.6384475519475316,True,4.734320786330579e-46,True
122,CD47,0.5613509748324208,4.135898134608637,1.7561192191978933e-30,0.2683833655414254,0.04800019359564555,0.4672705953849555,0.6554313542798861,True,1.069476604491517e-27,True
124,CD99,0.46968686072403887,3.9202191725855213,3.01675281572808e-15,0.17782314859433185,0.05904265716681414,0.3539632526770832,0.5854104687709946,True,1.8372024647784004e-12,True
127,CDC42,0.8446372127601219,3.80032810348657,6.908074338418875e-18,0.23459838042738998,0.09662418066255382,0.6552538186615164,1.0340206068587274,True,4.207017272097095e-15,True
129,CDH1,0.5293418817107699,3.3480580696773306,1.22815552648526e-50,0.27493975376938073,0.03467433702489819,0.46138018114196944,0.5973035822795704,True,7.479467156295232e-48,True
130,CDKN1A,0.28023608654755106,4.0965542973325615,1.6088624480414038e-05,0.12994079686170187,0.0646801025777636,0.1534630854951344,0.4070090875999677,True,0.009797972308572149,True
131,CDKN1B,0.5710335645355612,4.029170088564031,9.006710885650091e-08,0.1591060002122857,0.10611330669839951,0.36305148340669813,0.7790156456644243,True,5.485086929360906e-05,True
134,CHD3,0.5686496159850944,3.614950910571557,4.319772152700487e-11,0.16924675030586442,0.08561457892127462,0.4008450412993962,0.7364541906707927,True,2.6307412409945968e-08,True
138,CKAP4,0.5488639990972654,3.655328927568153,1.684594556480183e-11,0.16921637023685812,0.08093781579626104,0.3902258801365937,0.7075021180579371,True,1.0259180848964315e-08,True
139,CLCN3,0.3914925420771495,4.567055974041796,1.0136879315728729e-16,0.21415557107571304,0.046589567239609116,0.30017699028751565,0.48280809386678336,True,6.173359503278796e-14,True
140,CLGN,0.6052682316431248,4.04826934337256,1.8871377505482994e-25,0.3045802336036979,0.056634163512204336,0.4942652711592043,0.7162711921270453,True,1.1492668900839144e-22,True
145,CLTC,0.5643846822128716,3.912393176112597,1.9688995780665275e-14,0.18659677881724088,0.07308683840663095,0.42113447893587497,0.7076348854898683,True,1.1990598430425152e-11,True
156,CPSF6,0.5115657198465698,4.108447400436582,2.763935032285805e-07,0.14636248465820764,0.098989578459565,0.31754614606582243,0.7055852936273173,True,0.0001683236434662055,True
158,CREB3,0.8072050199428898,3.8962231581029383,3.6785768055191056e-05,0.14823419641251948,0.19445231021496603,0.42607849192155645,1.1883315479642231,True,0.022402532745611353,True
162,CSNK1A1,0.5404822268311514,3.9352152540199885,5.618265279140962e-24,0.22815977070990265,0.05280126161447414,0.43699175406678215,0.6439726995955207,True,3.421523554996846e-21,True
