,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
13,ADAMTS1,0.053942902533684965,4.671064873491311,1.7649360593883276e-17,0.11523224988065138,0.00631856188932771,0.041558521230602656,0.06632728383676728,True,5.947834520138664e-15,True
14,ADAMTS4,0.08541263502331403,4.7966797784037505,2.8841622939443367e-07,0.09428034679190901,0.016608283829863763,0.05286039871678106,0.11796487132984701,True,9.719626930592414e-05,True
18,ADGRA2,0.22019665895723367,4.6526441389352495,3.7212874770005614e-05,0.08168585843135129,0.05329760910966694,0.11573334510228647,0.32465997281218084,True,0.012540738797491891,True
24,AEBP1,0.15010534708410755,4.771028648811206,8.828178703601236e-06,0.0750069373069779,0.0337266764439143,0.08400106125403553,0.21620963291417958,True,0.0029750962231136165,True
43,ANXA2,0.1120200235817117,4.714338426113972,6.551816334091355e-05,0.060683891858258,0.02803362324246934,0.057074122026471795,0.1669659251369516,True,0.022079621045887867,True
44,ANXA5,0.10297386541055693,4.694070818999384,4.947403728707142e-05,0.057050370667835824,0.02535297700843765,0.053282030474019144,0.15266570034709473,True,0.01667275056574307,True
48,APCDD1,0.15902803238592464,4.741053742404081,5.5756368130837374e-11,0.10288255612264152,0.02419569308603153,0.11160447393730284,0.20645159083454645,True,1.8789896060092195e-08,True
52,APOL1,0.2376284069166155,4.61420398125854,6.162138771124829e-10,0.10534161184278021,0.038302596568110615,0.1625553176431187,0.3127014961901123,True,2.0766407658690673e-07,True
54,APP,0.12453091988762867,4.6458829129201,4.506727859218911e-16,0.09956015084804706,0.015289834473679242,0.09456284431921735,0.15449899545603998,True,1.518767288556773e-13,True
64,ATF3,0.1421971574158007,4.658599476807237,0.0001216843548173324,0.09342233583090381,0.0369178769947749,0.0698381185060419,0.2145561963255595,True,0.04100762757344102,True
69,ATP1A1,0.17393924183462198,4.709536607808103,1.2151967784715635e-10,0.09524385262758518,0.026957000941340722,0.12110351998959416,0.22677496367964978,True,4.095213143449169e-08,True
75,B2M,0.11846763215128601,4.58116190203318,3.9274489977638815e-14,0.09468174937471656,0.01562746674971989,0.08783779732183503,0.149097466980737,True,1.323550312246428e-11,True
86,BHLHE40,0.2190124192282775,4.628487169267452,6.864859284357718e-16,0.14579042940149392,0.026981541051687898,0.16612859876696923,0.27189623968958576,True,2.3134575788285513e-13,True
90,BMP5,0.19582479929343155,4.657676370920794,1.9338489791989025e-07,0.09202164959292634,0.0375353106976759,0.12225559032598679,0.26939400826087634,True,6.517071059900302e-05,True
114,CANX,0.19994703235672243,4.611522511289509,4.415353153623375e-05,0.07376896504444362,0.04888072285704483,0.10414081555691455,0.2957532491565303,True,0.014879740127710775,True
124,CCDC80,0.09569926696478288,4.677631317153812,4.479707677743808e-08,0.0702340870553378,0.017470347046105034,0.06145738675441702,0.12994114717514876,True,1.5096614873996632e-05,True
129,CCL5,0.07974960090590766,4.532987916184086,2.829635412038728e-15,0.08036522096398252,0.010080575472892296,0.05999167297903876,0.09950752883277655,True,9.535871338570515e-13,True
130,CCN1,0.07123855290205194,4.56548215165842,6.449735983925315e-35,0.16574357181061822,0.0057384223566216575,0.05999124508307349,0.0824858607210304,True,2.1735610265828312e-32,True
131,CCN2,0.04901733223623355,4.730042467853842,6.05942242865906e-09,0.09415489083593429,0.008409993916479064,0.03253374415993458,0.06550092031253252,True,2.0420253584581033e-06,True
153,CD99,0.11838587445068824,4.627847551441841,2.9739689298977032e-05,0.06083907720773509,0.02832505209718179,0.06286877234021193,0.17390297656116455,True,0.01002227529375526,True
162,CDKN1A,0.10281586881885661,4.634065280524448,4.2206043078892393e-19,0.11752907252517406,0.011471699128352539,0.08033133852728563,0.1253003991104276,True,1.4223436517586737e-16,True
173,CHD3,0.11628222047375884,4.6601553951653605,0.00013356524690569677,0.0597586749239349,0.030412958014080574,0.05667282276616092,0.17589161818135676,True,0.04501148820721981,True
190,COL18A1,0.15798183960539475,4.799918126880153,5.420170791954553e-05,0.07454165537873822,0.03907826414392319,0.0813884418833053,0.2345752373274842,True,0.018265975568886844,True
191,COL4A1,0.194260294970011,4.7064916744282,3.768553048209902e-12,0.12206543140042984,0.027861762350193393,0.13965124076363195,0.24886934917639003,True,1.270002377246737e-09,True
192,COL4A2,0.208991913247882,4.6971611338003285,9.966967520904753e-10,0.11271862978339985,0.03409303908822002,0.14216955663497077,0.2758142698607932,True,3.3588680545449017e-07,True
195,COL5A1,0.1418029104602029,4.711270585914558,5.2351214745558066e-14,0.10206692236392186,0.018791766319216877,0.10497104847453784,0.17863477244586798,True,1.7642359369253068e-11,True
196,COL5A2,0.33562379351745136,4.646899837656376,1.2155123586572912e-05,0.10554416167384893,0.07649182012831034,0.1856998260659631,0.4855477609689396,True,0.004096276648675071,True
219,CTSL,0.16950901707174926,4.7468937703539495,4.9618909417769e-05,0.07299422783227746,0.04171842284159308,0.08774090830222682,0.2512771258412717,True,0.01672157247378815,True
226,CXCL13,0.09347148171701623,4.644145974358382,2.9337786526774827e-12,0.10410025802335464,0.013352476847975686,0.06730062709498388,0.11964233633904858,True,9.886834059523116e-10,True
242,DDX3X,0.12124132962785741,4.737807672367086,5.388054380265887e-05,0.0667056707757852,0.0299886606741286,0.06246355470656536,0.18001910454914946,True,0.018157743261496037,True
249,DKK1,0.08908395025138935,4.784403886128435,4.9410442168610635e-05,0.11606065535821608,0.021871644625366383,0.046215526785671236,0.13195237371710747,True,0.016651319010821782,True
252,DLL1,0.16724357949227084,4.776866876864992,4.583798367930155e-05,0.08208097155097285,0.040958881924324085,0.08696417092059563,0.24752298806394604,True,0.015447400499924623,True
271,EEF1G,0.029893490722706566,4.5596436421002355,2.658859300988214e-10,0.059439018743061095,0.0047275885381880016,0.020627417187858085,0.03915956425755505,True,8.960355844330282e-08,True
276,EGR2,0.1968335739732491,4.798123868014049,6.742489961011117e-05,0.10804560387036563,0.049237197023317164,0.10032866780754747,0.29333848013895075,True,0.022722191168607464,True
277,EGR3,0.13173315713141662,4.757850779836484,4.819243911127333e-07,0.10983213851583942,0.026089455613401633,0.08059782412914943,0.1828684901336838,True,0.0001624085198049911,True
292,ELN,0.12496919716889036,4.760827391227964,2.466724590794565e-07,0.09916449606474978,0.02415580299134919,0.07762382330584595,0.17231457103193476,True,8.312861870977685e-05,True
295,EMP1,0.07932712640713592,4.842786177751361,1.2109815488184624e-06,0.08752686121863117,0.01631045318054451,0.047358638173268686,0.11129561464100315,True,0.0004081007819518218,True
302,EPHA3,0.15089399181769597,4.715337660201443,3.7746221322139243e-13,0.0984790847973298,0.02072299955395188,0.11027691269195028,0.19151107094344166,True,1.2720476585560925e-10,True
307,ERAP1,0.22300673266543294,4.688644950634501,2.1998366453181048e-05,0.08595250132724501,0.05244879259409766,0.12020709918100153,0.32580636614986436,True,0.007413449494722013,True
313,EWSR1,0.1367101337509454,4.669221734527528,4.577128912650998e-05,0.06467917712855122,0.033501101058304956,0.0710479756766677,0.2023722918252231,True,0.015424924435633862,True
317,F2R,0.362373469090876,4.656179882971282,2.2449758959453028e-06,0.14173396531063875,0.07620581695967782,0.21301006784990745,0.5117368703318446,True,0.000756556876933567,True
334,FGFR1,0.17258351516260603,4.725177897504558,2.5351795206833116e-05,0.07288178571527373,0.04092008073906063,0.0923801569140472,0.25278687341116485,True,0.00854355498470276,True
340,FMOD,0.17119199139913405,4.755047755823901,6.099947623073467e-06,0.07692778710710575,0.037791200889937406,0.09712123765485674,0.24526274514341134,True,0.0020556823489757585,True
345,FOXF1,0.19956322040548402,4.7266496796298005,9.325354450116355e-06,0.08381658984792116,0.04494187019656065,0.11147715482022515,0.2876492859907429,True,0.0031426444496892116,True
352,FSTL1,0.14122314805463143,4.695013710303403,1.4817305044164713e-09,0.08530536302560333,0.023313000395900164,0.0955296672786671,0.18691662883059576,True,4.993431799883508e-07,True
