,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
2,ABCC4,0.32934588133802234,2.632552711089499,5.426007620009827e-10,0.2172737414461281,0.052410090747900887,0.2266221034721366,0.43206965920390805,True,1.9099546822434591e-07,True
7,ACACA,0.5523983458859416,2.7984835255753318,1.6556043636073577e-06,0.22052752031174017,0.11379240962685835,0.3293652230172992,0.775431468754584,True,0.0005827727359897899,True
8,ACLY,0.7487013457284001,2.7259924059220166,5.92674519932825e-06,0.20568632396421171,0.16344422485645685,0.42835066500974467,1.0690520264470555,True,0.002086214310163544,True
13,ADAMTS1,0.12423956601723515,4.142717257514115,5.77443596643003e-06,0.23053745063105618,0.02700778238987694,0.07130431253307634,0.17717481950139397,True,0.0020326014601833703,True
23,AKT1,0.7689775863016035,3.0443619833700764,9.64874943369496e-06,0.19982350656411346,0.17192781548716748,0.43199906794675524,1.1059561046564519,True,0.003396359800660626,True
29,AMACR,0.3553115220661396,2.8304372108844236,5.216995808051004e-06,0.20154921930481642,0.07714435736310367,0.2041085816344564,0.5065144624978228,True,0.0018363825244339534,True
36,ANXA5,0.37226950822078214,3.6339884198876042,1.5244353510878976e-05,0.1556755610782539,0.08551600454210234,0.20465813931826154,0.5398808771233028,True,0.005366012435829399,True
44,APP,0.3306141910471569,3.1213190855780693,2.2092266905293204e-12,0.21097685985554404,0.046546307139851244,0.23938342905304844,0.42184495304126535,True,7.776477950663208e-10,True
48,ARL8B,0.6460750890726675,3.4768537237353696,5.826926370827913e-06,0.19365034661272057,0.1411152162674319,0.369489265188501,0.9226609129568341,True,0.0020510780825314253,True
52,ATF4,0.3317663065383789,3.3474032168381074,5.3958534690463225e-25,0.2678170909570576,0.0315289123306883,0.26996963837022986,0.39356297470652796,True,1.8993404211043054e-22,True
54,ATP1A1,0.44168264951093683,3.0980278483434494,5.719548189511435e-07,0.18699616348298884,0.08751267025104834,0.2701578158188821,0.6132074832029916,True,0.0002013280962708025,True
56,ATP5F1A,0.4070149813163637,3.4774154037438216,1.721911498676586e-08,0.17850939281895217,0.07159149035624988,0.266695660218114,0.5473343024146134,True,6.0611284753415825e-06,True
60,B2M,0.25259064602640174,3.653957786829033,1.011072651247478e-27,0.2866706544210533,0.022649657873110372,0.20819731659510543,0.29698397545769806,True,3.5589757323911227e-25,True
66,BHLHE40,0.47509386980042234,4.035306206423407,4.473011952965981e-05,0.25076604190150004,0.11440392044170387,0.2508621857346828,0.6993255538661619,True,0.015745002074440254,True
80,CANX,0.3867547311565099,3.5780239314190028,4.557357348586878e-06,0.15056081146060804,0.08386098437702916,0.22238720177753274,0.5511222605354871,True,0.0016041897867025811,True
85,CCDC80,0.5450338787853817,3.860175868080248,5.857429902444584e-05,0.242034054238158,0.13346617817369458,0.28344016956494034,0.806627588005823,True,0.020618153256604935,True
92,CCN1,0.19644917690709293,3.7057458685108116,9.63137977629884e-19,0.33666408200380715,0.021551358252870953,0.15420851473146585,0.23868983908272,True,3.390245681257192e-16,True
93,CCN2,0.1365771096017191,4.022601825501665,8.516641815005716e-13,0.2911639560047824,0.018665515138688415,0.0999926999298898,0.1731615192735484,True,2.997857918882012e-10,True
114,CDKN1A,0.39110949608057316,3.6682119407483773,2.5503761088464195e-13,0.28272677114227374,0.05232814398220161,0.288546333875458,0.4936726582856883,True,8.977323903139397e-11,True
122,CKAP4,0.654891701494455,3.2406557245487453,9.28043106916165e-05,0.17987652969520024,0.16608347075612218,0.3293680988124555,0.9804153041764545,True,0.03266711736344901,True
124,CLIC4,0.36641555531281994,3.870932238968786,1.4564710863581967e-05,0.16613116944958267,0.08389975946156852,0.20197202676814563,0.5308590838574943,True,0.005126778223980852,True
130,COL4A1,0.3317548755524735,4.050705758571079,1.9856890252705106e-07,0.2537135117557366,0.0626943574109178,0.20887393502707463,0.4546358160778724,True,6.989625368952197e-05,True
148,CTTN,0.687705522422356,3.017730252733463,6.174978570376126e-05,0.17959178621348137,0.17017621957029244,0.35416013206458286,1.0212509127801292,True,0.021735924567723962,True
154,CXCR4,0.14257465268619443,4.192765602791083,7.949933725984414e-09,0.2136454454940507,0.024415129768042092,0.09472099834083193,0.19042830703155694,True,2.7983766715465136e-06,True
