,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ABI3BP,0.4574049418335991,3.889525312957551,2.7948039155491753e-06,0.24437637948453333,0.09605857952178472,0.269130125970901,0.6456797576962972,True,0.0014560928400011203,True
7,ADAM10,0.35640285571738817,3.776288020377908,8.573476777105094e-05,0.11481824534167316,0.09041878625436131,0.17918203465884,0.5336236767759364,True,0.044667814008717534,True
9,ADAMTS1,0.20017544236582963,3.901405524017184,2.4761283494618262e-18,0.24992297826462873,0.02254793601220715,0.15598148778190363,0.24436939694975562,True,1.2900628700696114e-15,True
13,ADGRE5,0.20249953153082811,3.754717154693653,2.638877389751476e-06,0.09511820492088584,0.04300930856897962,0.11820128673562805,0.2867977763260282,True,0.001374855120060519,True
31,ANXA2,0.6016166639044412,3.4296893970993354,3.941424823283881e-23,0.22083301507521608,0.05997069875539904,0.4840740943438591,0.7191592334650233,True,2.0534823329309018e-20,True
32,ANXA5,0.30637463580000834,3.8458978310799137,7.120090705662623e-07,0.10905881282914658,0.06160102460676835,0.1856366275707424,0.4271126440292743,True,0.00037095672576502266,True
35,AP2M1,0.3934977714482317,3.740167848150297,2.640891590853747e-07,0.12023602379764767,0.07615700072791672,0.24423005002151496,0.5427654928749485,True,0.00013759045188348022,True
42,APP,0.3885117821084984,3.7110627870960595,4.5106136724302506e-21,0.2098416865039276,0.04077466887343542,0.308593431116565,0.4684301331004318,True,2.3500297233361604e-18,True
43,ARF1,0.3838748152963157,3.735809803938847,6.425230897868126e-05,0.10334747259113186,0.09577596476851606,0.1961539243500242,0.5715957062426071,True,0.033475452977892936,True
44,ARF6,0.3504287186001732,3.7348212968837537,3.544589745965446e-05,0.09823571821577777,0.08452307182645805,0.18476349782031545,0.516093939380031,True,0.018467312576479974,True
52,ATF4,0.2580039853895601,3.7479642301290603,3.576792711979437e-08,0.10357347261837346,0.04668953277651645,0.16649250114758785,0.34951546963153235,True,1.8635090029412867e-05,True
54,ATP1A1,0.4258926099639355,3.7694789821496606,2.984929028270639e-09,0.13172928225622918,0.07146783027371702,0.2858156626274502,0.5659695573004209,True,1.555148023729003e-06,True
55,ATP5F1A,0.39014543870966084,3.627549250711394,1.6448097863126334e-13,0.14378462158501296,0.052620775424099216,0.2870087188784264,0.4932821585408953,True,8.56945898668882e-11,True
58,B2M,0.2765909265506455,3.2907592683668003,3.8038654064943267e-187,0.30330192004070755,0.009251753800610454,0.258457489101449,0.294724363999842,True,1.9818138767835443e-184,True
61,BATF,0.5727855801852139,3.4288276174909766,3.493287685171348e-08,0.19121136931988825,0.10286775692834402,0.3711647766056596,0.7744063837647681,True,1.8200028839742723e-05,True
65,BHLHE40,0.4125894130483949,3.8573629145509782,3.0251635087805837e-06,0.13955124799768828,0.08791197100756257,0.2402819498735723,0.5848968762232175,True,0.001576110188074684,True
77,CALM3,0.34625820341544056,3.672582861446907,4.309356051844119e-05,0.10172071504506187,0.08442170030388806,0.18079167081981998,0.5117247360110612,True,0.02245174503010786,True
79,CANX,0.5177753563033777,3.54959201977827,4.904674921111098e-12,0.16063802430579974,0.07445016736602347,0.37185302826597166,0.6636976843407837,True,2.555335633898882e-09,True
85,CBX3,0.63421396861276,3.4829265584518057,6.240671484541687e-10,0.16001215568495233,0.1018719425713972,0.4345449611728215,0.8338829760526986,True,3.251389843446219e-07,True
87,CCDC80,0.4295368865090757,3.7392707432149166,7.169181025697892e-09,0.18170014982698238,0.07358508398682538,0.2853101218948979,0.5737636511232534,True,3.7351433143886016e-06,True
89,CCL19,0.15067351549269714,4.315340297898186,1.288605365171813e-07,0.19274684303035908,0.028254974373406978,0.09529376572081946,0.20605326526457482,True,6.713633952545144e-05,True
93,CCL5,0.18936147259541591,3.338897789002606,5.42124350815043e-113,0.22787013178054294,0.008270789248870945,0.17315072566762885,0.20557221952320298,True,2.824467867746374e-110,True
94,CCN1,0.1755315252307739,3.968061588872135,1.4956758097466115e-17,0.22392929507323092,0.020316473161143826,0.135711237834932,0.2153518126266158,True,7.792470968779846e-15,True
95,CCN2,0.19027249343241945,3.917041291694014,1.1432328397972209e-24,0.2575704130217481,0.018236623976597165,0.154528710438289,0.2260162764265499,True,5.95624309534352e-22,True
96,CCND2,0.2770613976637715,3.6930821185537606,6.549040301759338e-10,0.12381430150889218,0.0446788606305091,0.1894908308279737,0.36463196449956936,True,3.412049997216615e-07,True
98,CCR4,0.3882195892604756,3.6252662561799807,4.215517586059899e-12,0.17219082812407557,0.05559237957590889,0.2792585252916942,0.49718065322925703,True,2.1962846623372074e-09,True
99,CCR6,0.47869728945072015,3.5506611000143815,2.4600076681488553e-05,0.1552371018967308,0.11274751843277783,0.2577121533224756,0.6996824255789647,True,0.012816639951055536,True
102,CCT5,0.7794380926058462,3.4488098845713036,4.116733189158908e-07,0.17074962125970503,0.15275209708024637,0.4800439823285633,1.078832202883129,True,0.0002144817991551791,True
103,CCT7,0.44394626707364776,3.684007165672192,1.93562014887449e-05,0.1276759704752903,0.10346543608037002,0.24115401235612252,0.646738521791173,True,0.010084580975636094,True
104,CCT8,0.38342879289977017,3.7364190314526957,4.871946448627508e-08,0.12707362816854206,0.06998216771354218,0.24626374418122748,0.5205938416183129,True,2.5382840997349318e-05,True
109,CD2,0.20934123994555887,3.6751534877337466,1.2185061647872049e-06,0.0874479510892701,0.04305370573007755,0.12495597671460687,0.29372650317651083,True,0.0006348417118541337,True
111,CD247,0.32889978341363274,3.638738523740816,5.738273250778598e-07,0.11307806578904175,0.06556232193568881,0.20039763241968267,0.4574019344075828,True,0.000298964036365565,True
113,CD28,0.2783872563303036,3.723273866735782,4.003602285264649e-06,0.10016884675918597,0.06021276505343959,0.160370236825562,0.3964042758350452,True,0.0020858767906228822,True
115,CD3E,0.22145426590372877,3.4916934033516838,2.6427967632816224e-45,0.16772534704925698,0.015565292098745515,0.19094629339018757,0.25196223841727,True,1.3768971136697252e-42,True
117,CD4,0.33148247656763347,3.6866138567020625,1.2627976845278553e-07,0.11867801982491534,0.06250104500277338,0.20898042836219766,0.4539845247730693,True,6.579175936390126e-05,True
119,CD44,0.29038556975776547,3.514150099595636,2.5091848415414313e-44,0.18433067560511213,0.020611801195200355,0.2499864394151728,0.33078470010035815,True,1.3072853024430857e-41,True
124,CD69,0.1634625723231558,3.782773750599928,1.9028723938033572e-05,0.08417287382623224,0.03815634014082707,0.08867614564713476,0.23824899899917684,True,0.009913965171715491,True
125,CD7,0.41969703584346585,3.6839588900998,2.6203026157734774e-06,0.1403596125709002,0.08886107673127994,0.24552932545015718,0.5938647462367745,True,0.0013651776628179817,True
127,CD82,0.7089122649194723,3.516589447218732,9.631469921339427e-07,0.18522231737734787,0.14339183755177104,0.4278642633180011,0.9899602665209436,True,0.0005017995829017842,True
129,CD8A,0.1689697650532644,3.318685696749343,1.458287821152091e-31,0.22468028519426858,0.014267846065521254,0.14100478676484274,0.19693474334168604,True,7.597679548202394e-29,True
130,CD96,0.3014933368012087,3.6228551509623337,3.752186432012629e-11,0.11921774386024898,0.04542047969049333,0.2124691966078418,0.3905174769945756,True,1.95488913107858e-08,True
131,CD99,0.17632213445557554,3.8061607686067522,2.2482794424746675e-05,0.07499473009943973,0.04153636368779927,0.09491086162748898,0.2577334072836621,True,0.011713535895293017,True
134,CDC42,0.40407239041920295,3.671272376283607,4.813813803288325e-13,0.14091673830947368,0.055599474062803335,0.29509742125610844,0.5130473595822975,True,2.5079969915132175e-10,True
137,CDKN1A,0.3344111445361992,3.865147535012303,1.8463713176193747e-10,0.1608603051000619,0.05211624515825097,0.2322633040260273,0.4365589850463711,True,9.619594564796941e-08,True
138,CDKN1B,0.251320848541719,3.705220708330054,2.5535387267922576e-19,0.13678766994370978,0.027833076423799778,0.19676801875107142,0.30587367833236656,True,1.3303936766587662e-16,True
139,CDV3,0.3312070009578596,3.7347564372360744,2.3626239242048227e-06,0.10369309430814881,0.06997827161837596,0.19404958858584273,0.46836441332987644,True,0.0012309270645107127,True
142,CFLAR,0.5714267272414415,3.5107439392736213,4.0074780304853957e-10,0.15207254448753188,0.09082614109444438,0.3934074906963305,0.7494459637865525,True,2.0878960538828912e-07,True
143,CHD3,0.3042470224793127,3.7374677296230012,2.8454037471564675e-05,0.09499569943476752,0.07251669342975899,0.16211430335698507,0.4463797416016403,True,0.014824553522685196,True
150,CLTC,0.48752833200091594,3.7671577406511374,7.635742484780819e-07,0.12972436636902046,0.09816597189325735,0.29512302709013155,0.6799336369117004,True,0.0003978221834570807,True
153,COL4A1,0.2829048175200927,4.150322986234467,6.941576787614068e-11,0.2062489012166572,0.04289611774179325,0.19882842674617796,0.3669812082940075,True,3.616561506346929e-08,True
154,COL4A2,0.4369694296522278,4.081881079648194,1.7045724608845835e-07,0.19859422539997043,0.08269748586500321,0.27488235735682154,0.599056501947634,True,8.88082252120868e-05,True
155,COL5A1,0.25286916918021207,4.035135406633818,2.8753374745527123e-06,0.15348961456969082,0.05370096872313395,0.14761527048286954,0.3581230678775546,True,0.0014980508242419632,True
168,CSNK2B,0.3693808542017142,3.668415558634635,9.544938409184738e-06,0.10180056402165841,0.08320554540755633,0.2062979852029038,0.5324637232005246,True,0.004972912911185249,True
170,CTBP1,0.4266434364378556,3.638277773819863,7.018720619149523e-07,0.11429691304402322,0.08570816329525166,0.2586554363791624,0.5946314364965488,True,0.00036567534425769016,True
171,CTLA4,0.15519253943935443,3.5827284536012423,1.997907967512801e-21,0.18464625786982863,0.016184297132197312,0.12347131706024769,0.18691376181846117,True,1.0409100510741694e-18,True
172,CTNNB1,0.43253976900831503,3.753118095268322,9.619663493420962e-06,0.11877445392648851,0.09737235602339027,0.2416899512024701,0.6233895868141599,True,0.005011844680072321,True
177,CTSL,0.48513469993473546,3.854267034585035,2.77135718649807e-07,0.2008042247392424,0.09340812894022994,0.30205476721188473,0.6682146326575862,True,0.00014438770941654943,True
180,CXCL13,0.10817424857040238,3.867859748576643,1.1259958488740964e-06,0.2473137609164811,0.021856294187846757,0.06533591196222274,0.15101258517858202,True,0.0005866438372634042,True
183,CXCR4,0.16264800623989578,3.3925568571214986,7.062435866823716e-122,0.24498867991428092,0.0068209552053407185,0.14927893403742798,0.17601707844236358,True,3.679529086615156e-119,True
187,CYLD,0.2991098414113457,3.7187188831719467,4.845686715242876e-06,0.10278644419312385,0.06524931189174316,0.17122119010352915,0.4269984927191623,True,0.0025246027786415383,True
194,DDX39B,0.24083028435924003,3.789124342994859,1.2246529631638911e-07,0.09830476447517898,0.045413070263483346,0.15182066664281268,0.3298399020756674,True,6.380441938083873e-05,True
198,DDX6,0.2562222976232827,3.7948418708384253,6.507386684715258e-05,0.08161314353928266,0.06404414226210153,0.13069577878956368,0.3817488164570017,True,0.03390348462736649,True
199,DEK,0.42292375676640726,3.7210998888687854,3.356580170566953e-07,0.12139419984228436,0.08257061811194598,0.2610853452669931,0.5847621682658214,True,0.00017487782688653823,True
206,DNAJA1,0.4237629032311014,3.737291020192899,7.244849978911559e-06,0.12411517308057629,0.09407126334678914,0.23938322707139467,0.6081425793908081,True,0.0037745668390129225,True
209,DNMT1,0.8105809195086185,3.436203340354128,8.958941978467718e-06,0.16431874611504077,0.18121657039915706,0.45539644152627073,1.1657653974909663,True,0.004667608770781681,True
217,EEF1G,0.125353087827475,3.1635954396336907,2.7413026977661474e-288,0.3321453169785214,0.0033541105368604398,0.11877903117522855,0.13192714447972148,True,1.4282187055361627e-285,True
219,EGR3,0.42759021450640544,3.782595849877173,9.372173521915412e-10,0.22567037310838195,0.06893557704457079,0.2924764834990467,0.5627039455137641,True,4.88290240491793e-07,True
222,EIF3C,0.4463425210020874,3.572070411755083,8.780858973137265e-14,0.15115687851065193,0.059495384469870176,0.32973156744114185,0.5629534745630329,True,4.574827525004515e-11,True
223,EIF4A1,0.4742966826802754,3.626492008747046,5.432786314400566e-31,0.2104780938856726,0.0405046290952103,0.3949076096536632,0.5536857557068876,True,2.830481669802695e-28,True
225,EIF4G1,0.3638075421430967,3.832662957790151,6.184461786009811e-05,0.10326961209168675,0.0905649233974749,0.18630029228404588,0.5413147920021475,True,0.032221045905111115,True
226,EIF5A,0.6322463658277006,3.592174636005073,5.139959895819734e-09,0.15868357075028855,0.1075043897135267,0.42153776198918824,0.8429549696662129,True,2.6779191057220816e-06,True
235,EP300,0.5770742364371518,3.5779156795751845,9.9709337328141e-06,0.139962949441862,0.12994631615053917,0.32237945678209506,0.8317690160922087,True,0.005194856474796146,True
236,EPAS1,0.35017842240434444,3.857301386888201,3.07252912938555e-08,0.19279068265993912,0.06262331209280173,0.22743673070245307,0.4729201141062358,True,1.6007876764098715e-05,True
243,ERRFI1,0.5526537441167385,3.6761519839976255,9.410437050374772e-06,0.1823350798318847,0.12363823295302277,0.3103228075288139,0.7949846807046631,True,0.0049028377032452565,True
244,ETS1,0.20448370524718212,3.7505394700319146,1.6837856317179144e-06,0.08357844795709785,0.042628687191438044,0.12093147835196356,0.2880359321424007,True,0.0008772523141250334,True
