,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
1,ABCC4,0.6346797547185605,2.4176081035108625,3.4447099327047723e-05,0.3120030310292882,0.1491083185771759,0.34242745030729577,0.9269320591298253,True,0.0061315836802144945,True
7,ADAMTS1,0.2172004574474332,3.2321368514975752,1.050497633300764e-07,0.332411864257578,0.03961412677743771,0.13955676896365526,0.2948441459312111,True,1.8698857872753598e-05,True
21,APP,0.2792543190491623,3.1508573642764635,6.040439050134831e-09,0.2596651665959536,0.047158174738299155,0.18682429656209598,0.37168434153622865,True,1.075198150924e-06,True
26,ATF4,0.40728314977887115,2.8352123927717785,5.090816855101689e-08,0.22382698562812234,0.07376653089508839,0.26270074922449793,0.5518655503332444,True,9.061654002081007e-06,True
28,ATP5F1A,0.405901657531453,2.8825223183946136,3.0338829104317868e-05,0.18356959431860242,0.09643722513236827,0.2168846962720112,0.5949186187908948,True,0.005400311580568581,True
30,B2M,0.19370112177452692,3.034875983786095,6.367859177422483e-09,0.17798109097862916,0.03308169044049267,0.12886100851116128,0.25854123503789256,True,1.133478933581202e-06,True
49,CCN1,0.16592490271158233,3.3296572194580527,1.880982387514543e-05,0.23350500502691934,0.03820908355023762,0.09103509895311661,0.24081470647004805,True,0.0033481486497758863,True
50,CCN2,0.15459859354377628,3.291690835243806,6.89404868785749e-08,0.2877987914775258,0.028023797235292594,0.0996719509626028,0.20952523612494978,True,1.2271406664386332e-05,True
61,CDKN1A,0.3141319080547095,3.0882136001696114,5.840015115141359e-05,0.20361431251923764,0.07728184173507713,0.1626594982539583,0.46560431785546064,True,0.01039522690495162,True
101,EEF1G,0.08859178622762211,2.7431531869299954,1.5421681075172276e-45,0.2939061352727636,0.006113545262757998,0.07660923751261643,0.10057433494262778,True,2.7450592313806653e-43,True
106,EIF3C,0.3693417860952666,2.938057511314865,1.2982074940109969e-05,0.19288012700255935,0.08386032191822738,0.20497555513554092,0.5337080170549923,True,0.0023108093393395743,True
107,EIF4A1,0.45559430523304983,2.880979600562115,2.124098411438066e-07,0.23084986660192397,0.08657135377222419,0.28591445183949044,0.6252741586266093,True,3.7808951723597576e-05,True
130,GANAB,0.5014580438028972,2.864949276927671,5.359341499731632e-08,0.24192442280817508,0.09076490950763988,0.323558821167923,0.6793572664378713,True,9.539627869522305e-06,True
137,H3F3B,0.18149171038907624,2.9816277768404347,3.5537483785921567e-09,0.17142784080789802,0.030506411335982062,0.1216991441705514,0.2412842766076011,True,6.325672113894039e-07,True
145,HLA-A,0.34515135793403096,2.9538267340903275,8.371951400169772e-05,0.1755118752217935,0.08701741813550481,0.17459721838844153,0.5157054974796204,True,0.014902073492302194,True
146,HLA-B,0.33017830257700875,2.995870577960845,3.590679767403149e-05,0.1918203889015287,0.07910987391202644,0.17512294970943693,0.4852336554445806,True,0.006391409985977605,True
154,HNRNPA1L2,0.16858118554132318,2.973821388261528,5.6161974794351526e-06,0.1348977498933013,0.03695103505580252,0.09615715683195024,0.2410052142506961,True,0.0009996831513394572,True
155,HNRNPD,0.29634747897874164,2.955772234683896,4.881860403566208e-06,0.16279352108354636,0.06439348261127661,0.17013625306063948,0.4225587048968438,True,0.000868971151834785,True
160,HOXB7,-0.18446365361546332,3.1794491166450096,2.5954920731493103e-07,-0.18587787927966276,0.035487416467991875,-0.2540189898927274,-0.11490831733819926,True,4.619975890205772e-05,True
163,HSPA8,0.23443347572730658,3.0809417026476877,2.942892250385392e-05,0.16641359389302224,0.055697696251423214,0.12526599107451708,0.3436009603800961,True,0.005238348205685997,True
165,HSPD1,0.42800709596310826,2.7699953766301126,1.793116503984237e-05,0.21642400100499945,0.09852875346442343,0.23489073917283834,0.6211234527533782,True,0.003191747377091942,True
176,IL1RL1,0.10836105150029061,3.025331855809308,3.374983479957232e-10,0.15516602786904568,0.017145929447482736,0.07475502978322446,0.14196707321735677,True,6.007470594323873e-08,True
189,KIT,0.08966591657912562,2.884426294630603,3.5970369002119076e-14,0.16454031287869825,0.011754876485205243,0.06662635866812334,0.1127054744901279,True,6.402725682377196e-12,True
191,KLK3,0.06560147340419663,2.9472309355624233,8.982873333181377e-09,0.20769589917271716,0.011281836148290552,0.04348907455354715,0.08771387225484611,True,1.598951453306285e-06,True
192,LAMP1,0.403991118002636,2.911453674090295,2.1880528038461586e-05,0.1908723721558424,0.09424357163495681,0.21927371759812064,0.5887085184071513,True,0.003894733990846162,True
213,MS4A2,0.10637371034606712,3.0282121881997357,0.0002297199882097685,0.09869209542981258,0.028799722107877124,0.049926255014627954,0.16282116567750626,True,0.04089015790133879,True
219,MYH9,0.3387493859113883,2.882949331592536,0.00012841657525959003,0.16405671129003221,0.08781503012584166,0.16663192686473866,0.510866844958038,True,0.022858150396207026,True
225,NDRG1,0.2975695749784899,2.88795585597895,2.302495065804256e-06,0.23720291695249848,0.06202972080518564,0.17599132220032604,0.41914782775665377,True,0.00040984412171315754,True
229,NKX3-1,0.33843436452055364,2.7396023360926165,5.532889022501809e-05,0.24595899009795197,0.08255452009737013,0.17662750512970818,0.5002412239113991,True,0.00984854246005322,True
230,NONO,0.4633433589262449,2.7218187940884344,2.831133639039003e-06,0.2142824012614462,0.09773521860484524,0.27178233046074823,0.6549043873917415,True,0.0005039417877489425,True
234,NR4A1,0.19368230823918367,3.0762789913121624,1.5478324775465766e-09,0.21822490173108905,0.03166937550041601,0.1316103322583683,0.255754284219999,True,2.7551418100329065e-07,True
247,PDCD4,0.3939165503697195,2.8872422436923775,0.0001519636894952189,0.17169426434236987,0.10316450730569632,0.19171411605055472,0.5961189846888844,True,0.02704953673014896,True
251,PDIA3,0.37563457722977783,3.0231667594091727,1.5408826023137784e-05,0.20540092158511222,0.08591284438671959,0.20724540223180743,0.5440237522277482,True,0.0027427710321185255,True
269,POSTN,0.09393519742807489,3.417173440278964,0.00017670058062249945,0.25964390768273915,0.024582087123851248,0.04575430666532645,0.14211608819082333,True,0.031452703350804904,True
275,PTGES3,0.44145765990133634,2.8640782195127725,8.890821275408366e-09,0.22907703747298852,0.07570391798265703,0.29307798065532853,0.5898373391473442,True,1.5825661870226892e-06,True
281,RAC1,0.2760877156304677,2.911978827356245,5.428468806930479e-06,0.17031843124806087,0.06024423808146237,0.15800900899080145,0.39416642227013393,True,0.0009662674476336252,True
284,RAP1A,0.343385416531134,2.8022860874622233,0.00018353331232283412,0.16958729555928972,0.09108172082228391,0.16486524371945757,0.5219055893428105,True,0.03266892959346447,True
304,SFRP1,0.16517011551955094,3.1612402812496474,2.3590661740580577e-06,0.23204438418557563,0.034489676763457475,0.09757034906317429,0.23276988197592757,True,0.00041991377898233426,True
346,THBS1,0.11322421640886807,3.4613243386427226,8.528331340534105e-06,0.2322062385756328,0.02506616637910454,0.06409453030582317,0.16235390251191295,True,0.0015180429786150708,True
347,TIMP2,0.2611973058025789,3.2034129239633233,6.288101537406728e-05,0.19606875669952187,0.06459310632908695,0.13459481739756846,0.3877997942075893,True,0.011192820736583975,True
352,TMEM14C,0.718932767398986,2.5192909224484947,1.3192903942944809e-06,0.2848315828580497,0.14537425957594496,0.4339992186301339,1.003866316167838,True,0.00023483369018441759,True
360,VDAC2,0.8062630890073622,2.5328259404654707,0.0001795982162327908,0.259994792053292,0.21121067465277135,0.3922901666879304,1.220236011326794,True,0.03196848248943676,True
363,VIM,0.11125199299841396,2.9504868719850714,4.139512455623706e-13,0.17878009381420595,0.015216379993708545,0.0814278882107452,0.1410760977860827,True,7.368332171010197e-11,True
365,XBP1,0.39683679445152853,2.9272562025358306,7.880489290847257e-06,0.2318075829324375,0.0875258734778324,0.22528608243497703,0.56838750646808,True,0.0014027270937708117,True
367,YWHAQ,0.5529476950822079,2.708779852953805,4.4143353304778537e-07,0.24990025993500167,0.10766311422957286,0.34192799119224504,0.7639673989721707,True,7.85751688825058e-05,True
368,YWHAZ,0.2728608723717657,2.937451257005146,0.00011139219153936142,0.14512875665357236,0.07020964016485932,0.13524997764864144,0.41047176709488997,True,0.019827810094006332,True
370,ZFAND5,0.215716789837955,3.074154983050436,9.960267294256545e-06,0.16472986993616173,0.04847396009453373,0.12070782805266889,0.3107257516232411,True,0.001772927578377665,True
