,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
3,ABCC9,0.26290096218454234,4.222054974861547,4.1837178018293004e-05,0.07077746619600415,0.06408235364518011,0.1372995490399893,0.3885023753290954,True,0.026441096507561178,True
11,ACTA2,0.14827282668478792,3.6612070311353815,0.0,0.2890710801539752,0.003025466272863454,0.14234291278997555,0.1542027405796003,True,0.0,True
12,ACTN1,0.3250878765423184,4.06914822964847,1.0801097794491758e-13,0.09822296101565343,0.043641292815893136,0.23955094262316787,0.4106248104614689,True,6.826293806118792e-11,True
14,ACTN4,0.2902790237122192,4.094723506732103,4.823000479075619e-20,0.1094398509287747,0.03156606412810379,0.22840953802113578,0.3521485094033026,True,3.048136302775791e-17,True
17,ADAMTS1,0.11133559034297637,4.12487021771857,6.422585996854489e-72,0.16969284511903107,0.00616270787016049,0.09925668291746181,0.12341449776849092,True,4.059074350012037e-69,True
22,ADD1,0.22464466781467496,4.159370500977375,3.202434869113476e-07,0.07015001046658524,0.04389581951485894,0.13860886156555144,0.3106804740637985,True,0.00020239388372797167,True
23,ADGRA2,0.33062147803271275,4.219265046702168,2.478700027766471e-17,0.11378644419112424,0.0389109185220458,0.25435607772950297,0.4068868783359225,True,1.5665384175484095e-14,True
30,ADRA1A,0.24806990067665144,4.276541158554609,4.542459539641341e-12,0.09235049421204339,0.035774126423794655,0.1779526128860139,0.318187188467289,True,2.8708344290533276e-09,True
34,AEBP1,0.12852729811249783,4.242182274805936,3.5065964386780566e-16,0.09176959419040485,0.015727726378614557,0.0977009544104133,0.15935364181458236,True,2.2161689492445318e-13,True
40,AKT2,0.41173579529315535,4.026510705312253,2.3416330311596238e-07,0.09264771174002562,0.07946229322693449,0.2559897005683638,0.5674818900179469,True,0.00014799120756928821,True
44,ALDH1B1,0.1776821400665803,4.166415343287599,8.398111846697978e-09,0.07328497346338968,0.030803397593625752,0.11730748078307385,0.23805679935008678,True,5.307606687113122e-06,True
45,ALDH2,0.32305550728234245,4.231300785955969,8.518471639698765e-10,0.10077154215420701,0.05252032513741843,0.2201156700130023,0.4259953445516826,True,5.383674076289619e-07,True
60,ANXA2,0.2985025245381313,4.102286611999382,6.943470066261759e-16,0.10944340201390981,0.036869188419518924,0.22623891523587422,0.37076613384038837,True,4.3882730818774315e-13,True
61,ANXA5,0.2315735052317458,4.130244349662722,9.605518914063898e-15,0.09122061573259246,0.0298386834670729,0.1730896856362829,0.2900573248272087,True,6.070687953688383e-12,True
62,AOC3,0.2654415814342126,4.210039880072025,1.7381503928441925e-88,0.20004997624129628,0.013174273069221162,0.23962000621853913,0.29126315664988606,True,1.0985110482775296e-85,True
63,AP2M1,0.26820874608283873,4.082304755121255,3.5086386656956972e-15,0.09605248172632723,0.03399389455345284,0.20158071275807116,0.3348367794076063,True,2.2174596367196806e-12,True
70,APOL1,0.47389121177127624,4.040483693620594,1.6428849696482773e-06,0.11247345249398444,0.09854294324297248,0.28074704301505016,0.6670353805275023,True,0.0010383033008177112,True
73,APP,0.14461727380760664,4.140903563781844,3.03942099050491e-26,0.09785557036850305,0.013612422307391129,0.11793692608512002,0.17129762153009326,True,1.920914065999103e-23,True
