,goi,slope,intercept,p_value,r_value,std_err,ci_low,ci_high,validation,p_bonf,sig_bonferroni
0,AAMP,1.117323315844286,3.550200923479049,1.507329508478234e-21,0.13854268887215362,0.1166149076764373,0.8887580967984687,1.345888534890103,True,1.9459623954454e-18,True
2,ABAT,1.0566933808253987,3.432843578088805,3.254100837033078e-27,0.15431036388192984,0.09720168702638429,0.8661780742536854,1.2472086873971118,True,4.201044180609703e-24,True
3,ABCA1,0.6950650571377637,4.532683621737977,4.219125575896128e-15,0.14060972894892934,0.08811427106940882,0.5223610858417224,0.867769028433805,True,5.4468911184819015e-12,True
5,ABCC1,0.5715534071237388,3.127045664286188,5.585471346385069e-26,0.10950524597207137,0.05405661718854511,0.4656024374341904,0.6775043768132872,True,7.210843508183124e-23,True
6,ABCC4,0.33346069842144915,2.9865831903994624,5.440791748570324e-103,0.13154069968687168,0.01540709864459288,0.3032627850780471,0.3636586117648512,True,7.024062147404287e-100,True
8,ACACA,0.8165726769387565,3.0039107078920546,8.458831725200639e-121,0.19710908153981466,0.03459359630841936,0.7487692281742545,0.8843761257032584,True,1.0920351757234025e-117,True
10,ACLY,0.8776137954334723,2.9372176235544907,0.0,0.32783085223239417,0.019002290954033246,0.8403693051635671,0.9148582857033775,True,0.0,True
11,ACPP,0.2518891801459467,2.558530851099251,0.0,0.5263534958154048,0.002033834624733313,0.2479028642814694,0.255875496010424,True,0.0,True
12,ACTA2,-0.40169661318525285,3.3726989811436754,2.3173447669506218e-05,-0.06662568993593977,0.09480986035314148,-0.5875239394774101,-0.21586928689309554,True,0.02991692094133253,True
13,ACTN4,0.9073615608580138,3.1759218053633553,6.212264523515859e-21,0.12018310048329565,0.09631295285332664,0.7185881732654935,1.096134948450534,True,8.020033499858974e-18,True
14,ADAM10,0.8580625442421622,3.7218500404546497,5.539080173239962e-57,0.19336144561776658,0.05342261149954512,0.7533542257030538,0.9627708627812707,True,7.150952503652791e-54,True
15,ADAM9,0.6771790792427071,3.1579009034885446,1.4063987086587911e-21,0.10677111704876101,0.07076563947700942,0.5384784258677686,0.8158797326176457,True,1.8156607328784995e-18,True
16,ADAMTS1,0.1628903660619347,4.340865294896885,1.6653731634270553e-168,0.2663899636591343,0.005779048704243557,0.1515634306016173,0.17421730152225207,True,2.1499967539843285e-165,True
17,ADAR,0.9312219981341762,3.467717064554103,1.6080669792017659e-37,0.1563395224019463,0.07229089562234092,0.7895318427143879,1.0729121535539643,True,2.0760144701494796e-34,True
18,ADD1,0.8409805710302212,3.402930986185566,2.021113205132421e-36,0.14558831257532148,0.06636693324261406,0.7109013818746976,0.9710597601857447,True,2.6092571478259557e-33,True
19,ADIPOR1,0.8291455552447734,3.465229899706336,6.040689222154778e-54,0.1634756141136742,0.053252498218098666,0.7247706587373001,0.9335204517522467,True,7.798529785801818e-51,True
21,ADNP,0.9696917275839328,3.421718224371693,4.431753825731177e-50,0.1723884773606031,0.06467351448342247,0.8429316391964248,1.096451815971441,True,5.72139418901895e-47,True
22,ADRB1,0.5964877009620936,3.8590106425603365,1.2606565589622226e-14,0.11131215310487615,0.07712291550927121,0.445326786563922,0.7476486153602652,True,1.6275076176202294e-11,True
23,ADRB2,1.0572119564490832,3.6252719386650156,1.1889171086618674e-15,0.1419276608683846,0.13137749948938549,0.7997120574498876,1.3147118554482788,True,1.5348919872824708e-12,True
