#Selection name: Partially_Includes_Tumor_Cells
#Area (µm^2): 4641531.53
Cell ID,Cluster,Transcripts,Area (µm^2)
geodeagd-1,Cluster 2,0,38.30
cmdfggdp-1,Cluster 2,0,74.94
dbcmdegi-1,Cluster 2,0,64.51
cclgaghb-1,Cluster 1,0,30.44
chlgpejo-1,Cluster 2,0,51.77
nemcmnhf-1,Cluster 1,0,36.23
cbahcedg-1,Cluster 2,0,47.37
caofpmcm-1,Cluster 1,0,30.52
bmdbfpag-1,Cluster 2,0,119.40
naljealb-1,Cluster 1,0,50.70
ncbabnli-1,Cluster 7,0,18.75
nbofafgd-1,Cluster 7,0,40.87
nbogkobc-1,Cluster 5,0,19.64
nbohcafk-1,Cluster 5,0,82.89
nbohabfi-1,Cluster 5,0,135.26
nbogfjei-1,Cluster 5,0,38.88
bmcbgikc-1,Cluster 2,0,160.78
ncanndjd-1,Cluster 5,0,163.33
ncanjkkp-1,Cluster 5,0,99.15
ncaplbhc-1,Cluster 1,0,43.96
nbpnbnnp-1,Cluster 1,0,13.82
ncapdemi-1,Cluster 5,0,22.86
ncanldph-1,Cluster 3,0,29.86
nboecbfh-1,Cluster 5,0,29.92
nbodaigf-1,Cluster 5,0,27.54
nbocpien-1,Cluster 5,0,72.62
nboeokin-1,Cluster 5,0,80.30
nbodljfn-1,Cluster 5,0,31.27
nbodlibk-1,Cluster 2,0,30.56
naljkhjg-1,Cluster 5,0,40.63
naljjplj-1,Cluster 5,0,74.86
naloeapn-1,Cluster 7,0,14.70
nalmaabm-1,Cluster 7,0,33.80
nalogiao-1,Cluster 5,0,75.65
nbakoeam-1,Cluster 5,0,127.75
nbahncpi-1,Cluster 5,0,139.73
bmcikhai-1,Cluster 2,0,152.08
bmbopakd-1,Cluster 2,0,94.13
bmbnkace-1,Cluster 2,0,101.54
bmcgjllm-1,Cluster 2,0,127.63
bmchhnhk-1,Cluster 2,0,127.72
bmaceiaf-1,Cluster 2,0,132.69
bmchcofe-1,Cluster 2,0,142.91
bmciejll-1,Cluster 2,0,123.27
bmabjjbe-1,Cluster 2,0,43.94
bmabjaed-1,Cluster 2,0,108.00
blpmdmcg-1,Cluster 2,0,101.67
bmabplji-1,Cluster 2,0,68.06
nbbdakfd-1,Cluster 1,0,19.67
namcecme-1,Cluster 1,0,19.89
nbbchelh-1,Cluster 5,0,68.47
bocklbgh-1,Cluster 1,0,40.93
nbalinic-1,Cluster 3,0,46.84
bocjiklg-1,Cluster 2,0,35.17
nbafpkod-1,Cluster 5,0,17.76
nbafkmmg-1,Cluster 5,0,27.70
nbaffpmf-1,Cluster 3,0,99.43
bocmcbpf-1,Cluster 2,0,143.17
bochcdek-1,Cluster 2,0,151.55
bocmpdla-1,Cluster 1,0,44.76
bocoaafg-1,Cluster 2,0,20.16
bocjonjb-1,Cluster 2,0,56.23
nbahceih-1,Cluster 1,0,25.44
nbbceioa-1,Cluster 6,0,70.86
bocjfkbc-1,Cluster 2,0,48.47
bochcbea-1,Cluster 2,0,90.66
bocncold-1,Cluster 2,0,91.40
bocjbfeb-1,Cluster 2,0,83.53
bocglcbp-1,Cluster 2,0,104.74
bocgmodp-1,Cluster 1,0,69.47
bofkkkpc-1,Cluster 2,0,88.69
blpkipmi-1,Cluster 1,0,73.28
blpmlepc-1,Cluster 2,0,134.12
bmadibnk-1,Cluster 2,0,130.22
blpmmfkn-1,Cluster 2,0,184.76
nalmifhl-1,Cluster 3,0,28.86
