#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
kgkkajjp-1,Cluster 3,0,19.80
kgkighpc-1,Cluster 3,0,41.79
kiemnmbp-1,Cluster 1,0,13.64
kiengdne-1,Cluster 3,0,21.21
kieohnem-1,Cluster 3,0,57.38
kiemijmd-1,Cluster 3,0,14.46
kienjmam-1,Cluster 3,0,64.56
kienplme-1,Cluster 3,0,29.85
kiepkdoe-1,Cluster 3,0,37.53
kiendkgh-1,Cluster 1,0,33.53
kieoekjp-1,Cluster 1,0,56.20
kikiegfj-1,Cluster 1,0,28.78
kikkfihk-1,Cluster 3,0,22.96
kieejead-1,Cluster 1,0,42.04
kikgppfp-1,Cluster 3,0,54.33
kiekkfdk-1,Cluster 1,0,38.60
kieojoji-1,Cluster 3,0,65.81
kiefljnb-1,Cluster 3,0,63.23
kigboflj-1,Cluster 3,0,38.03
kiednkje-1,Cluster 3,0,104.74
kikimodp-1,Cluster 7,0,23.62
kikimegl-1,Cluster 1,0,14.95
kikcohao-1,Cluster 3,0,15.68
kikcjceo-1,Cluster 3,0,30.02
kjbcjmjg-1,Cluster 3,0,18.03
kjbbhnad-1,Cluster 5,0,38.05
kidnpbhd-1,Cluster 3,0,44.50
kjbbimlm-1,Cluster 3,0,44.91
kidmjgcf-1,Cluster 3,0,18.01
kifphkpd-1,Cluster 3,0,19.59
kjbchnie-1,Cluster 7,0,17.08
kjbcjcaa-1,Cluster 3,0,19.14
kiohkfgd-1,Cluster 7,0,50.55
eiljcmpl-1,Cluster 1,0,33.02
kimbndmh-1,Cluster 3,0,12.10
kikddmml-1,Cluster 1,0,18.31
kimcgnhp-1,Cluster 4,0,60.50
kimfmkcd-1,Cluster 1,0,43.92
kjbdfjjd-1,Cluster 4,0,49.23
kjakljoa-1,Cluster 7,0,47.60
kjbdiakk-1,Cluster 1,0,37.36
kjakfiaj-1,Cluster 1,0,13.58
kimbnpad-1,Cluster 3,0,62.58
kimcbhgp-1,Cluster 7,0,32.87
kimfeomg-1,Cluster 1,0,32.67
kjbcnmbb-1,Cluster 5,0,22.75
kjaoemhe-1,Cluster 3,0,58.49
kiofnifb-1,Cluster 1,0,39.38
kimgclma-1,Cluster 4,0,105.16
kimfkhda-1,Cluster 1,0,29.14
kifelcbo-1,Cluster 3,0,31.18
kigciilg-1,Cluster 3,0,25.14
kifoohmi-1,Cluster 7,0,16.23
kifpdcop-1,Cluster 1,0,17.75
kigdimpb-1,Cluster 5,0,23.61
kifnmibb-1,Cluster 1,0,33.32
kigdbone-1,Cluster 1,0,16.06
kifnomee-1,Cluster 3,0,20.58
kifpnjdi-1,Cluster 1,0,10.38
kifpebcd-1,Cluster 3,0,64.51
kifnnolc-1,Cluster 1,0,36.11
kigcdffe-1,Cluster 3,0,33.65
kjbadngc-1,Cluster 5,0,37.45
fmeafdbo-1,Cluster 4,0,43.68
kjajjdph-1,Cluster 7,0,86.81
fmdpibip-1,Cluster 4,0,59.06
eildglpl-1,Cluster 4,0,46.27
eilkbmce-1,Cluster 1,0,60.90
kinnbipj-1,Cluster 4,0,130.86
eiljniec-1,Cluster 1,0,45.30
eilbofap-1,Cluster 4,0,103.09
kinmiepk-1,Cluster 4,0,68.94
eilccghn-1,Cluster 4,0,68.81
kinphbgl-1,Cluster 1,0,89.97
kiffmofp-1,Cluster 3,0,21.11
kifffdfn-1,Cluster 1,0,38.30
kifhajol-1,Cluster 3,0,23.84
kifgahao-1,Cluster 4,0,54.00
kifhackf-1,Cluster 1,0,24.35
kifgjmmn-1,Cluster 1,0,40.48
kjbdpcib-1,Cluster 4,0,66.01
kifijijo-1,Cluster 3,0,35.29
kifglhhk-1,Cluster 1,0,59.47
kjbeclhj-1,Cluster 4,0,64.19
kjbelbla-1,Cluster 6,0,59.18
