#Selection name: Tumor_Free_Left
#Area (µm^2): 2387159.80
Cell ID,Cluster,Transcripts,Area (µm^2)
ifhbiinl-1,Cluster 7,0,14.36
ielcidlp-1,Cluster 7,0,17.58
ieldhclg-1,Cluster 3,0,49.90
ifgljccp-1,Cluster 1,0,34.82
iejlkpab-1,Cluster 3,0,69.14
iejnejif-1,Cluster 7,0,36.32
iekphacp-1,Cluster 1,0,104.71
iekmjnfb-1,Cluster 1,0,59.75
ieldpgmd-1,Cluster 3,0,146.10
iekogpbk-1,Cluster 1,0,63.06
iekpgcbl-1,Cluster 1,0,25.01
iejelfbn-1,Cluster 1,0,37.77
iejfefca-1,Cluster 1,0,61.63
iejeehhp-1,Cluster 1,0,8.88
iejjekdh-1,Cluster 1,0,17.78
iejnlcah-1,Cluster 7,0,34.41
iejnalhb-1,Cluster 6,0,43.87
icgaegcj-1,Cluster 1,0,19.19
iejmaaje-1,Cluster 1,0,39.76
icfkkfln-1,Cluster 3,0,29.51
iegdphdi-1,Cluster 1,0,21.86
icfeobhn-1,Cluster 3,0,54.87
ieklnfkl-1,Cluster 6,0,62.48
iekmdnka-1,Cluster 3,0,23.40
adfkmiof-1,Cluster 1,0,39.88
ielabiaa-1,Cluster 3,0,28.09
ielbnfap-1,Cluster 6,0,82.61
iekmecij-1,Cluster 6,0,80.79
adfmjckk-1,Cluster 1,0,47.18
ielappom-1,Cluster 3,0,39.53
adfmkbap-1,Cluster 1,0,30.73
ielbkooh-1,Cluster 1,0,49.07
iekpbmkk-1,Cluster 1,0,91.80
iekpmggk-1,Cluster 1,0,33.80
iejfhopk-1,Cluster 3,0,109.98
icfikbbn-1,Cluster 3,0,27.99
icddkame-1,Cluster 1,0,25.28
icfgbicj-1,Cluster 7,0,26.25
icdefmoe-1,Cluster 7,0,19.62
icfghicg-1,Cluster 1,0,18.29
icdeeodf-1,Cluster 1,0,23.08
icfpjoan-1,Cluster 3,0,32.03
icfdaogb-1,Cluster 3,0,58.74
icffeopl-1,Cluster 7,0,125.35
icfppobb-1,Cluster 7,0,64.97
icdobofo-1,Cluster 1,0,63.27
icffbfim-1,Cluster 1,0,15.92
icfehblc-1,Cluster 1,0,200.59
icfkmlbp-1,Cluster 3,0,64.17
icflfbfg-1,Cluster 3,0,77.17
icgaaeoh-1,Cluster 3,0,52.78
icdooncm-1,Cluster 1,0,42.88
icfhnfmn-1,Cluster 3,0,35.24
icfbbaam-1,Cluster 1,0,43.21
icfgmpec-1,Cluster 5,0,36.75
icfhdeeb-1,Cluster 5,0,32.57
icfgpjmn-1,Cluster 5,0,50.59
icdgjnjl-1,Cluster 3,0,19.42
icfjhjpb-1,Cluster 3,0,93.86
icfapeab-1,Cluster 5,0,27.49
icfpgndo-1,Cluster 3,0,23.69
icfmcdei-1,Cluster 1,0,33.05
icfnjngf-1,Cluster 5,0,16.18
icfnjpda-1,Cluster 3,0,71.09
icfnpcmo-1,Cluster 5,0,23.53
iceeheln-1,Cluster 3,0,44.22
icdppfln-1,Cluster 3,0,50.66
icdpibfb-1,Cluster 3,0,43.84
icfianli-1,Cluster 6,0,69.80
icfhnfok-1,Cluster 1,0,42.79
icfhlimj-1,Cluster 5,0,26.81
icefadap-1,Cluster 3,0,36.48
iceacllm-1,Cluster 5,0,39.52
icdpldob-1,Cluster 5,0,71.67
icejaaed-1,Cluster 5,0,51.97
icdgeeko-1,Cluster 3,0,12.22
icddllhg-1,Cluster 5,0,43.22
ogipocnd-1,Cluster 1,0,142.42
icejcnnf-1,Cluster 3,0,28.41
icejhjhc-1,Cluster 5,0,44.11
icdfacml-1,Cluster 7,0,36.69
