chr	start	stop
DVL1	1	1335276	1349418
PRKCZ	1	2050411	2185395
TNFRSF14	1	2555639	2565382
WRAP73	1	3630767	3652761
LRRC47	1	3778559	3796498
AJAP1	1	4654609	4792534
ZBTB48	1	6579994	6589280
THAP3	1	6624868	6635586
VAMP3	1	7771296	7781432
PER3	1	7784291	7845177
PARK7	1	7954291	7985505
ERRFI1	1	8004404	8026309
CLSTN1	1	9728926	9823984
LZIC	1	9922113	9943407
UBE4B	1	10032832	10181239
PGD	1	10398592	10420511
CASZ1	1	10636604	10796650
TARDBP	1	11012344	11030528
EXOSC10	1	11066618	11099869
MTOR	1	11106535	11262556
NPPA	1	11845709	11848345
KIAA2013	1	11919591	11926428
MFN2	1	11980181	12015211
MIIP	1	12019466	12032045
PDPN	1	13583465	13617957
CASP9	1	15490832	15526534
DDI2	1	15617458	15669044
PLEKHM2	1	15681461	15734769
FBXO42	1	16246840	16352480
SDHB	1	17018664	17054151
EMC1	1	19215660	19251552
NBL1	1	19596979	19658456
PINK1	1	20633458	20651511
ECE1	1	21217247	21345572
HSPG2	1	21822244	21937310
CDC42	1	22052627	22101360
ZBTB40	1	22428838	22531157
KDM1A	1	23019443	23083689
TCEA3	1	23380909	23424748
PITHD1	1	23778418	23788232
GALE	1	23795599	23800781
FUCA1	1	23845077	23868290
CLIC4	1	24745382	24844321
MTFR1L	1	25818640	25832942
STMN1	1	25884181	25906991
ZNF683	1	26361634	26374522
DHDDS	1	26432282	26471306
ARID1A	1	26693236	26782104
GPN2	1	26876132	26890283
SLC9A1	1	27098809	27166981
RPA2	1	27891524	27914746
RCC1	1	28505943	28539300
GMEB1	1	28668778	28719353
PTPRU	1	29236516	29326813
SDC3	1	30869466	30908758
ZCCHC17	1	31296982	31364953
TINAGL1	1	31576485	31587686
PEF1	1	31629866	31644896
KHDRBS1	1	32013868	32060850
KPNA6	1	32108056	32176563
HDAC1	1	32292083	32333635
BSDC1	1	32364633	32394731
RBBP4	1	32651142	32686211
ZMYM1	1	35032172	35118818
SFPQ	1	35176378	35193446
AGO1	1	35869808	35930532
MAP7D1	1	36155579	36180849
STK40	1	36339624	36385924
OSCP1	1	36415827	36450451
ZC3H12A	1	37474580	37484377
GNL2	1	37566816	37595937
MYCBP	1	38862493	38873368
PABPC4	1	39560709	39576790
MYCL	1	39895428	39902256
RLF	1	40161387	40240921
ZMPSTE24	1	40258041	40294180
SMAP2	1	40344850	40423326
ERMAP	1	42817122	42844991
SLC2A1	1	42925353	42958893
PTPRF	1	43525187	43623666
KDM4A	1	43650149	43705518
MUTYH	1	45329163	45340893
MMACHC	1	45500300	45513382
GPBP1L1	1	45627304	45688113
IPP	1	45694324	45750653
POMGNT1	1	46188683	46220305
LURAP1	1	46203334	46221256
FAAH	1	46394317	46413848
MKNK1	1	46557407	46616843
ATPAF1	1	46632737	46673867
FAF1	1	50437028	50960267
ZYG11B	1	52726453	52827336
YIPF1	1	53851719	53889798
HSPB11	1	53916574	53945699
SSBP3	1	54225432	54413479
TTC4	1	54715861	54742657
DHCR24	1	54849627	54887195
ALG6	1	63367575	63438553
PGM1	1	63593411	63660245
JAK1	1	64833223	65067754
GADD45A	1	67685201	67688334
DIRAS3	1	68045886	68051717
CTH	1	70411218	70439851
CRYZ	1	74705482	74733408
DNAJB4	1	77979175	78017964
PRKACB	1	84078062	84238498
RPF1	1	84479259	84498352
SSX2IP	1	84643706	84690803
BCL10	1	85265776	85276632
ODF2L	1	86346824	86396342
GBP1	1	89051882	89065360
ZNF326	1	89995110	90035533
TGFBR3	1	91680343	91906335
EVI5	1	92508696	92792404
BCAR3	1	93561741	93847150
GCLM	1	93885199	93909456
ABCD3	1	94418389	94518666
DPYD	1	97077743	97995000
CDC14A	1	100325629	100520277
SLC30A7	1	100896076	100996260
CELSR2	1	109249539	109275751
SORT1	1	109309568	109397918
GSTM1	1	109687814	109709039
GSTM3	1	109733932	109741038
STRIP1	1	110031577	110074641
RBM15	1	110338506	110346681
SLC16A4	1	110362851	110391082
LRIF1	1	110947190	110963965
WDR77	1	111439890	111449256
RAP1A	1	111542218	111716691
DDX20	1	111754832	111775602
CTTNBP2NL	1	112396214	112463456
MOV10	1	112673141	112700756
RHOC	1	112701127	112707434
SLC16A1	1	112911847	112957593
RSBN1	1	113761832	113812476
NRAS	1	114704469	114716771
ATP1A1	1	116372668	116410261
CD58	1	116514534	116571039
IGSF3	1	116574399	116667755
PTGFRN	1	116909916	116990353
TENT5C	1	117606048	117628389
PHGDH	1	119648411	119744218
NOTCH2	1	119911553	120100779
NOTCH2NLA	1	146146203	146229041
PDE4DIP	1	148808140	149048286
SF3B4	1	149923317	149927803
ANP32E	1	150218417	150236156
CA14	1	150257251	150265078
PRPF3	1	150321479	150353233
ARNT	1	150809713	150876708
SETDB1	1	150926263	150964744
MINDY1	1	150996549	151008376
PSMD4	1	151254709	151267479
ZNF687	1	151281618	151292176
RFX5	1	151340640	151347326
SELENBP1	1	151364304	151372707
POGZ	1	151402724	151459494
SNX27	1	151612006	151699091
RORC	1	151806071	151831845
UBAP2L	1	154220179	154271510
HAX1	1	154272355	154275875
IL6R	1	154405193	154469450
ADAR	1	154581695	154628013
PBXIP1	1	154944076	154956123
SHC1	1	154962298	154974395
KRTCAP2	1	155169408	155173475
GBA	1	155234452	155244699
CLK2	1	155262868	155278491
FDPS	1	155308748	155320666
YY1AP1	1	155659446	155689334
DAP3	1	155687960	155739010
ARHGEF2	1	155946851	156007070
CCT3	1	156308968	156367873
ETV3	1	157121191	157138474
IFI16	1	158999968	159055155
DUSP23	1	159780932	159782543
IGSF8	1	160091340	160098943
PEA15	1	160205380	160215376
NCSTN	1	160343294	160358952
F11R	1	160995211	161021175
USF1	1	161039251	161045977
UFC1	1	161152776	161158856
ATF6	1	161766298	161977574
RGS5	1	163111121	163321791
PBX1	1	164555584	164899296
POU2F1	1	167220876	167427345
CREG1	1	167529117	167553805
MPZL1	1	167721192	167791919
F5	1	169511951	169586588
METTL18	1	169792529	169794963
EEF1AKNMT	1	171781660	171814023
RC3H1	1	173931084	174022357
CACYBP	1	174999163	175012027
TOR3A	1	179082070	179098023
ABL2	1	179099330	179229684
SOAT1	1	179293714	179358680
XPR1	1	180632022	180890279
DHX9	1	182839347	182887982
LAMC1	1	183023420	183145592
NIBAN1	1	184790724	184974508
RNF2	1	185045497	185102603
TRMT1L	1	185118101	185157072
SWT1	1	185157080	185291781
IVNS1ABP	1	185292931	185317273
ODR4	1	186375838	186421378
PTGS2	1	186671791	186680922
PLA2G4A	1	186828949	186988981
RO60	1	193059454	193091777
CDC73	1	193121983	193254815
CFH	1	196651754	196752476
ZNF281	1	200404940	200410056
CAMSAP2	1	200738893	200860707
LAD1	1	201380833	201399915
CSRP1	1	201483530	201509456
IPO9	1	201829149	201884291
KDM5B	1	202724495	202808487
ADIPOR1	1	202940826	202958572
FMOD	1	203340628	203351758
PPP1R15B	1	204396492	204411887
MDM4	1	204516379	204558120
RBBP5	1	205086142	205122015
CDK18	1	205504596	205532793
ELK4	1	205597556	205632011
RASSF5	1	206507531	206589448
MAPKAPK2	1	206684905	206734281
IL20	1	206865623	206869223
CD55	1	207321519	207386804
CD46	1	207752037	207795513
LAMB3	1	209614870	209652425
RCOR3	1	211258377	211316385
TRAF5	1	211326615	211374946
PACC1	1	212363928	212414901
ATF3	1	212565334	212620777
RRP15	1	218285293	218337983
TGFB2	1	218345336	218444619
EPRS	1	219968600	220046530
IARS2	1	220094132	220148041
TP53BP2	1	223779893	223845954
NVL	1	224227334	224330189
CNIH4	1	224356858	224379459
WDR26	1	224385146	224437033
DNAH14	1	224896262	225399292
